page|85
|附注五|2021 年|2020 年
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||106,726,134,987|85,001,941,596
收到的税费返还||5,722,962|1,986,683
存放中央银行款项减少额||849,508|-
卖出回购金融资产款净增加额||726,985,008|-
买入返售金融资产款净减少额||562,137,604|1,023,246,427
吸收存款及同业拆入资金净增加额||2,632,925,094|-
收取利息、手续费及佣金的现金||412,043,770|378,850,393
收到其他与经营活动有关的现金|62(1)|204,959,284|685,643,457
经营活动现金流入小计||111,271,758,217|87,091,668,556
购买商品、接受劳务支付的现金||(  84,760,290,787)|( 70,120,117,388)
存放中央银行款项净增加额||-|(      226,335,280)
卖出回购金融资产款净减少额||-|(   1,188,099,504)
吸收存款及同业拆放净减少额||-|(   4,744,795,694)
发放贷款及垫款净增加额||(         83,620,774)|(      408,826,479)
支付给职工以及为职工支付的现金||(    5,426,066,966)|(   4,736,858,780)
支付的各项税费||(    3,239,773,238)|(   2,270,765,693)
支付利息、手续费及佣金的现金||(       179,297,311)|(      144,512,677)
支付其他与经营活动有关的现金|62(2)|(       808,232,709)|(      480,842,416)
经营活动现金流出小计||(  94,497,281,785)|( 84,321,153,911)
经营活动产生的现金流量净额|63(1)|16,774,476,432|2,770,514,645
二、投资活动产生的现金流量|||
收回投资收到的现金||31,841,017,645|24,473,423,758
取得投资收益收到的现金||248,003,849|216,975,852
处置固定资产、无形资产和其他|||
长期资产收回的现金净额||187,332,662|508,461,603
投资活动现金流入小计||32,276,354,156|25,198,861,213
page|86
二、投资活动产生的现金流量（续）|||
购建固定资产、无形资产和其他|||
长期资产支付的现金||(  7,586,327,238)|(  7,027,769,955)
投资支付的现金||(35,394,272,916)|(24,179,299,032)
支付的其他与投资活动有关的现金|62(3)|(       17,443,494)|(       73,705,396)
投资活动现金流出小计||(42,998,043,648)|(31,280,774,383)
投资活动使用的现金流量净额||(10,721,689,492)|(  6,081,913,170)
三、筹资活动产生的现金流量|||
取得借款收到的现金||16,618,863,222|17,988,437,837
吸收投资收到的现金||9,375,000|13,125,000
其中：子公司吸收少数股东投资收到的现金||9,375,000|13,125,000
筹资活动现金流入小计||16,628,238,222|18,001,562,837
偿还债务支付的现金||(19,556,873,889)|(17,085,162,670)
分配股利、利润或偿付利息支付的现金||(  1,842,152,922)|(  1,570,654,370)
其中：子公司支付给少数股东的股利、利润||(     236,624,809)|(     285,625,207)
支付的其他与筹资活动有关的现金|62(4)|(     129,537,940)|(       54,484,769)
筹资活动现金流出小计||(21,528,564,751)|(18,710,301,809)
筹资活动使用的现金流量净额||(  4,900,326,529)|(     708,738,972)
四、汇率变动对现金及现金等价物的影响||(       52,995,362)|(       95,916,296)
五、现金及现金等价物净增加/(减少)额||1,099,465,049|(  4,116,053,793)
加：年初现金及现金等价物余额||3,123,596,841|7,239,650,634
