page|87
项目|附注|2019 年度|2018 年度
一、营业总收入||583,607,279.31|413,604,798.80
其中：营业收入|七．59|583,607,279.31|413,604,798.80
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||508,187,374.64|336,754,793.41
其中：营业成本|七．59|412,515,463.40|255,622,989.40
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七．60|2,260,039.17|2,543,429.43
销售费用|七．61|17,252,092.08|15,963,265.49
管理费用|七．62|50,735,466.14|54,032,121.76
研发费用|七．63|31,656,610.66|20,795,721.43
财务费用|七．64|-6,232,296.81|-12,202,734.10
其中：利息费用||3,618,644.93|97,519.44
利息收入||10,073,505.63|10,902,008.55
加：其他收益|七．65|1,309,205.10|8,000,413.70
投资收益（损失以“－”号填列）|七．66|2,097,978.99|9,535,662.46
其中：对联营企业和合营企业的投资收益||797,615.63|581,883.43
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七．68||
信用减值损失（损失以“-”号填列）|七．69|-32,265,249.42|
资产减值损失（损失以“-”号填列）|七．70|-4,927,537.75|-5,874,442.39
资产处置收益（损失以“－”号填列）|七．71|83,626.89|-4,655.10
三、营业利润（亏损以“－”号填列）||41,717,928.48|88,506,984.06
加：营业外收入|七．72|5,098,834.67|4,816,182.02
减：营业外支出|七．73|396,115.25|953,807.15
四、利润总额（亏损总额以“－”号填列）||46,420,647.90|92,369,358.93
减：所得税费用|七．74|6,125,478.57|11,995,218.78
五、净利润（净亏损以“－”号填列）||40,295,169.33|80,374,140.15
（一）按经营持续性分类|||
page|88
1.持续经营净利润（净亏损以“－”号填列）||40,295,169.33|80,374,140.15
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||40,654,680.99|80,079,244.59
2.少数股东损益（净亏损以“-”号填列）||-359,511.66|294,895.56
六、其他综合收益的税后净额||171,196.67|
（一）归属母公司所有者的其他综合收益的税后净额||171,196.67|
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||171,196.67|
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|七．75|171,196.67|
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||40,466,366.00|80,374,140.15
（一）归属于母公司所有者的综合收益总额||40,825,877.66|80,079,244.59
（二）归属于少数股东的综合收益总额||-359,511.66|294,895.56
八、每股收益：|||
（一）基本每股收益(元/股)||0.40|0.80
（二）稀释每股收益(元/股)||0.40|0.80
