page|82
项目|附注|本期金额|上期金额
一、营业总收入||109,994,810,619.50|104,128,599,054.94
其中：营业收入|五、（五十一）|109,456,514,419.15|103,621,835,960.58
利息收入|五、（五十二）|535,366,591.05|504,683,285.77
已赚保费|||
手续费及佣金收入|五、（五十三）|2,929,609.30|2,079,808.59
二、营业总成本||104,799,702,200.67|99,007,155,972.98
其中：营业成本|五、（五十一）|97,397,087,693.81|92,432,223,948.71
利息支出|五、（五十二）|121,063,549.12|98,094,853.27
手续费及佣金支出|五、（五十三）|1,344,325.36|298,397.85
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|五、（五十四）|297,970,088.74|364,468,940.80
销售费用|五、（五十五）|387,538,880.35|438,594,736.52
管理费用|五、（五十六）|2,260,431,501.22|2,244,515,772.86
研发费用|五、（五十七）|3,802,023,536.62|3,316,583,027.15
财务费用|五、（五十八）|532,242,625.45|112,376,295.82
其中：利息费用||445,370,714.31|289,806,779.76
利息收入||473,460,734.78|107,731,675.32
加：其他收益|五、（五十九）|171,971,347.62|108,540,994.03
投资收益（损失以“-”号填列）|五、（六十）|74,665,176.40|123,948,472.28
其中：对联营企业和合营企业的投资收益||-12,414,793.42|12,209,668.32
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）||-3,318,514.08|500,483.67
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|五、（六十一）|-4,158,640.70|10,102,353.42
信用减值损失（损失以“-”号填列）|五、（六十二）|-844,174,161.02|-1,384,534,133.99
资产减值损失（损失以“-”号填列）|五、（六十三）|-80,494,628.32|-137,686,958.70
资产处置收益（损失以“-”号填列）|五、（六十四）|101,963,790.27|39,811,163.09
三、营业利润（亏损以“-”号填列）||4,611,562,789.00|3,882,125,455.76
加：营业外收入|五、（六十五）|71,132,729.65|85,715,225.13
减：营业外支出|五、（六十六）|138,834,773.05|58,515,684.77
四、利润总额（亏损总额以“-”号填列）||4,543,860,745.60|3,909,324,996.12
减：所得税费用|五、（六十七）|701,699,067.51|622,061,583.67
五、净利润（净亏损以“-”号填列）||3,842,161,678.09|3,287,263,412.45
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||3,842,161,678.09|3,287,263,412.45
2．终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||3,658,838,010.40|3,061,407,368.97
2．少数股东损益（净亏损以“-”号填列）||183,323,667.69|225,856,043.48
六、其他综合收益的税后净额|五、（四十六）|-74,671,486.38|24,799,779.01
归属于母公司所有者的其他综合收益的税后净额||-65,231,553.95|22,285,407.31
（一）不能重分类进损益的其他综合收益||-36,079,984.59|-19,662,609.80
1．重新计量设定受益计划变动额||528,634.23|1,232,500.00
2．权益法下不能转损益的其他综合收益||-681,478.57|12,601,477.70
3．其他权益工具投资公允价值变动||-35,927,140.25|-33,496,587.50
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||-29,151,569.36|41,948,017.11
1．权益法下可转损益的其他综合收益|||
2．其他债权投资公允价值变动||2,043,299.35|11,049,041.39
3．金融资产重分类计入其他综合收益的金额|||
4．其他债权投资信用减值准备|||
5．现金流量套期储备|||
6．外币财务报表折算差额||-31,194,868.71|30,898,975.72
7．其他|||
归属于少数股东的其他综合收益的税后净额||-9,439,932.43|2,514,371.70
七、综合收益总额||3,767,490,191.71|3,312,063,191.46
归属于母公司所有者的综合收益总额||3,593,606,456.45|3,083,692,776.28
归属于少数股东的综合收益总额||173,883,735.26|228,370,415.18
八、每股收益：|||
（一）基本每股收益（元/股）|五、（六十八）|0.71|0.62
（二）稀释每股收益（元/股）|五、（六十八）|0.71|0.62
