page|185
资产|附注六|合并||母公司|
||2020 年 12 月 31 日|2019 年 12 月 31 日|2020 年 12 月 31 日|2019 年 12 月 31 日
货币资金|1|15,899,247,026.55|11,307,006,407.12|12,840,283,934.37|9,351,470,339.72
其中：客户存款||10,692,237,509.94|9,048,335,152.14|8,496,453,300.58|7,523,422,990.88
结算备付金|2|1,833,879,426.19|1,620,500,175.74|1,880,954,385.82|1,673,483,279.55
其中：客户备付金||1,490,804,971.99|1,414,442,054.31|1,414,324,826.55|1,389,416,142.15
融出资金|3|7,438,017,435.03|5,341,021,020.05|7,438,017,435.03|5,341,021,020.05
衍生金融资产|4|1,447,255.00|1,079,375.00|-|-
存出保证金|5|2,560,786,147.60|1,701,638,916.42|94,079,995.76|145,390,381.13
应收款项|6|170,083,256.66|118,231,355.90|118,199,272.39|64,721,361.04
买入返售金融资产|7|4,760,406,244.06|7,052,109,397.06|4,527,111,637.75|6,927,842,107.13
金融投资：|||||
交易性金融资产|8|19,139,226,071.28|11,580,616,998.34|15,670,327,908.15|9,278,544,802.63
债权投资|9|37,559,726.01|14,738,275,841.48|-|14,665,997,781.21
其他债权投资|10|18,049,428,783.31|11,796,666,800.74|18,049,428,783.31|11,796,666,800.74
其他权益工具投资|11|75,000,000.00|75,000,000.00|75,000,000.00|75,000,000.00
长期股权投资|12|255,827,137.99|239,264,124.17|1,578,549,685.40|1,578,549,685.40
投资性房地产|13|18,099,712.15|17,134,165.03|18,099,712.15|17,134,165.03
固定资产|14|1,423,850,906.33|151,395,967.85|1,377,167,007.03|102,782,796.43
无形资产|15|134,192,108.51|130,445,760.68|117,086,737.16|113,086,087.45
商誉|16|22,096,264.01|22,096,264.01|13,574,980.76|13,574,980.76
递延所得税资产|17|417,698,858.55|243,035,573.18|408,134,942.06|233,725,893.27
其他资产|18|316,896,161.61|172,617,108.60|208,483,013.07|124,210,846.87
资产总计||72,553,742,520.84|66,308,135,251.37|64,414,499,430.21|61,503,202,328.41
page|186
负债和股东权益|附注六|合并||母公司|
||2020 年 12 月 31 日|2019 年 12 月 31 日|2020 年 12 月 31 日|2019 年 12 月 31 日
负债：|||||
应付短期融资款|21|3,976,581,075.21|700,764,530.05|3,976,581,075.21|700,764,530.05
拆入资金|22|4,401,787,250.04|5,992,190,436.50|4,401,787,250.04|5,992,190,436.50
交易性金融负债|23|3,929,234,532.72|1,223,213,533.74|1,323,575,625.72|506,089,668.22
衍生金融负债|4|693,270.00|1,665,146.27|605,430.00|1,501,480.20
