page|55
项目|附注|2020年度|2019年度 (经重述)
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||24,541,025,999.74|22,900,319,533.97
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||4,110,879.13|3,955,922.92
收到其他与经营活动有关的现金|四(81)(a)|235,336,856.43|232,533,082.72
经营活动现金流入小计||24,780,473,735.30|23,136,808,539.61
购买商品、接受劳务支付的现金||20,149,696,446.15|19,274,804,261.52
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,661,531,022.17|1,552,411,356.21
支付的各项税费||601,239,053.52|680,070,788.83
page|56
支付其他与经营活动有关的现金|四(81)(b)|1,271,635,809.75|1,418,500,472.09
经营活动现金流出小计||23,684,102,331.59|22,925,786,878.65
经营活动产生的现金流量净额|四(82)(a)|1,096,371,403.71|211,021,660.96
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||243,931,619.51|295,305,674.49
处置固定资产、无形资产和其他长期资产收回的现金净额||695,634.70|4,852,050.88
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|四(81)(c)|1,256,856,892.59|986,978,367.47
投资活动现金流入小计||1,501,484,146.80|1,287,136,092.84
购建固定资产、无形资产和其他长期资产支付的现金||272,830,184.24|299,339,109.71
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||778,869,004.43|
处置子公司减少的现金净额|四(82)(c)|6,302,955.11|
支付其他与投资活动有关的现金|四(81)(d)||128,700,000.00
投资活动现金流出小计||1,058,002,143.78|428,039,109.71
投资活动产生的现金流量净额||443,482,003.02|859,096,983.13
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||142,379,788.80|42,847,286.59
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||142,379,788.80|42,847,286.59
偿还债务支付的现金||144,798,447.25|39,000,000.00
分配股利、利润或偿付利息支付的现金||856,626,762.33|1,101,142,409.41
其中：子公司支付给少数股东的股利、利润||473,061,887.96|627,084,570.45
支付其他与筹资活动有关的现金|四(81)(f)|260,042,633.29|29,993,192.22
筹资活动现金流出小计||1,261,467,842.87|1,170,135,601.63
筹资活动产生的现金流量净额||-1,119,088,054.07|-1,127,288,315.04
四、汇率变动对现金及现金等价物的影响||-26,311,776.95|4,324,598.55
五、现金及现金等价物净增加额|四(82)(a)|394,453,575.71|-52,845,072.40
加：期初现金及现金等价物余额||7,640,699,476.80|7,693,544,549.20
六、期末现金及现金等价物余额|四(82)(d)|8,035,153,052.51|7,640,699,476.80
