page|52
项目|附注|2020 年度|2019 年度(经重述)
一、营业总收入||23,394,105,805.46|22,287,777,845.49
其中：营业收入|四(62)|23,394,105,805.46|22,287,777,845.49
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||21,485,893,668.17|20,578,958,222.25
其中：营业成本|四(62)|19,392,776,917.76|18,495,260,137.98
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|四(63)|88,674,334.83|77,010,182.02
销售费用|四(64)|651,338,521.17|726,551,989.47
管理费用|四(65)|763,971,320.07|759,139,015.46
研发费用|四(66)|790,155,286.92|751,249,079.91
财务费用|四(67)|-201,022,712.58|-230,252,182.59
其中：利息费用||8,170,117.22|4,621,513.44
利息收入||244,725,052.04|237,587,043.82
加：其他收益|四(69)|35,196,995.33|36,674,837.39
投资收益（损失以“－”号填列）|四(70)|292,058,123.24|300,232,460.58
其中：对联营企业和合营企业的投资收益||285,826,864.69|283,152,268.06
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
page|53
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|四(72)|288,808.21|24,958,850.12
信用减值损失（损失以“-”号填列）|四(73)|-286,759,863.78|-112,357,423.01
资产减值损失（损失以“-”号填列）|四(74)|-9,882,707.89|-12,060,703.35
资产处置收益（损失以“－”号填列）|四(75)|-3,302,750.00|-4,149,616.04
三、营业利润（亏损以“－”号填列）||1,935,810,742.40|1,942,118,028.93
加：营业外收入|四(76)|37,604,479.63|42,548,795.08
减：营业外支出|四(77)|1,925,850.11|1,107,457.41
四、利润总额（亏损总额以“－”号填列）||1,971,489,371.92|1,983,559,366.60
减：所得税费用|四(78)|185,747,734.29|200,384,951.71
五、净利润（净亏损以“－”号填列）||1,785,741,637.63|1,783,174,414.89
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,785,741,637.63|1,783,174,414.89
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,129,961,314.04|1,129,931,561.64
2.少数股东损益（净亏损以“-”号填列）||655,780,323.59|653,242,853.25
六、其他综合收益的税后净额|四(58)|-970,349.07|111,290.97
（一）归属母公司所有者的其他综合收益的税后净额||-970,349.07|111,290.97
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-970,349.07|111,290.97
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额||-229,261.07|
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-741,088.00|111,290.97
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
page|54
七、综合收益总额||1,784,771,288.56|1,783,285,705.86
（一）归属于母公司所有者的综合收益总额||1,128,990,964.97|1,130,042,852.61
（二）归属于少数股东的综合收益总额||655,780,323.59|653,242,853.25
八、每股收益：|||
（一）基本每股收益(元/股)|四(80)(a)|1.10|1.10
（二）稀释每股收益(元/股)|四(80)(b)|1.10|1.10
