page|128
项目|附注五|本期金额|上期金额
一、营业总收入||695,937,681.19|1,064,171,650.10
其中：营业收入|（四十四）|695,937,681.19|1,064,171,650.10
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||858,622,805.08|1,158,992,541.34
其中：营业成本|（四十四）|520,057,053.75|822,420,036.32
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（四十五）|8,554,748.38|9,753,283.89
销售费用|（四十六）|27,872,004.43|35,031,914.11
管理费用|（四十七）|143,670,932.14|168,906,987.33
研发费用|（四十八）|34,065,924.53|40,875,917.22
财务费用|（四十九）|124,402,141.85|82,004,402.47
其中：利息费用||104,992,978.09|118,588,683.75
利息收入||4,312,744.33|39,804,730.87
加：其他收益|（五十）|6,485,965.51|3,679,931.89
投资收益（损失以“-”号填列）|（五十一）|4,242,422.85|-22,886,111.23
其中：对联营企业和合营企业的投资收益||-9,893,373.30|-24,636,589.23
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“ -”号填列）|||
公允价值变动收益（损失以“ -”号填列）|（五十二）||-3,338,100.00
信用减值损失（损失以“-”号填列）|（五十三）|-601,360,044.33|-122,136,477.23
资产减值损失（损失以“-”号填列）|（五十四）|-419,228,720.62|-944,393,091.52
资产处置收益（损失以“-”号填列）|（五十五）|1,791,780.53|1,431,294.37
三、营业利润（亏损以“ -”号填列）||-1,170,753,719.95|-1,182,463,444.96
加：营业外收入|（五十六）|13,181,721.67|26,730,090.88
减：营业外支出|（五十七）|20,570,156.18|13,782,515.97
四、利润总额（亏损总额以“-”号填列）||-1,178,142,154.46|-1,169,515,870.05
减：所得税费用|（五十八）|29,810,191.17|31,411,197.59
五、净利润（净亏损以“ -”号填列）||-1,207,952,345.63|-1,200,927,067.64
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“ -”号填列）||-1,207,952,345.63|-1,200,927,067.64
2．终止经营净利润（净亏损以“ -”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“ -”号填列）||-1,209,103,633.94|-1,207,531,281.10
2．少数股东损益（净亏损以“ -”号填列）||1,151,288.31|6,604,213.46
六、其他综合收益的税后净额||-67,088,487.96|15,037,314.26
归属于母公司所有者的其他综合收益的税后净额||-67,088,487.96|14,757,609.41
（一）不能重分类进损益的其他综合收益||-17,486,384.85|
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益||-17,486,384.85|
3．其他权益工具投资公允价值变动|||
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||-49,602,103.11|14,757,609.41
1．权益法下可转损益的其他综合收益||-5,335,620.21|4,217,654.50
2．其他债权投资公允价值变动|||
3．金融资产重分类计入其他综合收益的金额|||
4．其他债权投资信用减值准备|||
5．现金流量套期储备（现金流量套期损益的有效部分）|||
6．外币财务报表折算差额||-44,266,482.90|10,539,954.91
7．其他|||
归属于少数股东的其他综合收益的税后净额|||279,704.85
page|129
项目|附注五|本期金额|上期金额
七、综合收益总额||-1,275,040,833.59|-1,185,889,753.38
归属于母公司所有者的综合收益总额||-1,276,192,121.90|-1,192,773,671.69
归属于少数股东的综合收益总额||1,151,288.31|6,883,918.31
八、每股收益：|||
（一）基本每股收益（元/股）||-1.70|-1.70
（二）稀释每股收益（元/股）||-1.70|-1.70
