page|132
项目|附注五|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||827,799,502.30|1,023,535,968.45
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||8,369,158.75|3,200,767.43
收到其他与经营活动有关的现金|（五十九）|182,756,750.20|140,320,367.46
经营活动现金流入小计||1,018,925,411.25|1,167,057,103.34
购买商品、接受劳务支付的现金||426,797,475.67|737,487,057.61
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||176,646,743.29|189,057,245.43
支付的各项税费||58,813,574.55|82,597,869.35
支付其他与经营活动有关的现金|（五十九）|189,720,333.66|204,686,549.67
经营活动现金流出小计||851,978,127.17|1,213,828,722.06
经营活动产生的现金流量净额||166,947,284.08|-46,771,618.72
二、投资活动产生的现金流量|||
收回投资收到的现金||12,046,560.00|29,070,000.00
取得投资收益收到的现金|||6,591,501.61
处置固定资产、无形资产和其他长期资产收回的现金净额||60,079,123.80|10,050,810.91
处置子公司及其他营业单位收到的现金净额|||38,389,775.35
收到其他与投资活动有关的现金|（五十九）|73,320,702.43|3,822,046.84
投资活动现金流入小计||145,446,386.23|87,924,134.71
购建固定资产、无形资产和其他长期资产支付的现金||32,232,935.85|50,351,132.89
投资支付的现金||38,235,497.66|154,610,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||16,193,138.16|
支付其他与投资活动有关的现金|||400,000.00
投资活动现金流出小计||86,661,571.67|205,361,132.89
投资活动产生的现金流量净额||58,784,814.56|-117,436,998.18
三、筹资活动产生的现金流量|||
吸收投资收到的现金||370,500.00|188,500,800.00
其中：子公司吸收少数股东投资收到的现金|||188,500,800.00
取得借款收到的现金||315,655,586.52|629,732,970.00
收到其他与筹资活动有关的现金|（五十九）|2,831,887.02|172,814,068.05
筹资活动现金流入小计||318,857,973.54|991,047,838.05
偿还债务支付的现金||598,930,963.95|724,430,577.42
分配股利、利润或偿付利息支付的现金||40,942,894.37|73,345,828.79
其中：子公司支付给少数股东的股利、利润|||10,233,050.08
支付其他与筹资活动有关的现金|（五十九）|23,966,573.95|29,979,131.52
筹资活动现金流出小计||663,840,432.27|827,755,537.73
筹资活动产生的现金流量净额||-344,982,458.73|163,292,300.32
page|133
项目|附注五|本期金额|上期金额
四、汇率变动对现金及现金等价物的影响||-1,679,857.30|1,985,817.37
五、现金及现金等价物净增加额||-120,930,217.39|1,069,500.79
加：期初现金及现金等价物余额||271,986,109.77|270,916,608.98
六、期末现金及现金等价物余额||151,055,892.38|271,986,109.77
