page|152
||本年数||上年数|
项          目|附注||||
||合并|公司|合并|公司
一、经营活动产生的现金流量：|||||
销售商品、提供劳务收到的现金||10,586,210,839.13|4,909,761,296.33|9,870,473,698.39|5,363,323,813.59
收到的税费返还||103,911,932.81||78,148,503.69|
收到其他与经营活动有关的现金|五、58|519,879,954.50|305,101,489.30|479,844,345.42|315,214,829.38
经营活动现金流入小计||11,210,002,726.44|5,214,862,785.63|10,428,466,547.50|5,678,538,642.97
购买商品、接受劳务支付的现金||2,741,476,711.15|2,926,429,409.30|2,559,855,010.72|3,207,097,348.99
支付给职工以及为职工支付的现金||1,058,159,446.26|297,950,304.24|971,708,686.98|267,818,409.15
支付的各项税费||1,170,169,084.70|188,104,728.21|1,089,374,555.70|294,046,556.57
支付其他与经营活动有关的现金|五、58|4,079,436,877.91|1,406,155,598.31|4,040,365,411.33|1,932,608,100.60
经营活动现金流出小计||9,049,242,120.02|4,818,640,040.06|8,661,303,664.73|5,701,570,415.31
经营活动产生的现金流量净额||2,160,760,606.42|396,222,745.57|1,767,162,882.77|-23,031,772.34
二、投资活动产生的现金流量：|||||
收回投资收到的现金||227,939,643.71|139,518,392.30|127,669,831.39|25,112,000.00
取得投资收益收到的现金||45,342,426.88|1,339,051,756.62|8,471,843.49|272,542,856.51
处置固定资产、无形资产和其他长期资产收回的现金净额||5,114,538.05|314,150.00|1,859,052.00|1,101,113.18
处置子公司及其他营业单位收到的现金净额||5,339,063.95|15,000,000.00||
收到其他与投资活动有关的现金|五、58|28,508,016.38||88,496,772.62|
投资活动现金流入小计||312,243,688.97|1,493,884,298.92|226,497,499.50|298,755,969.69
购置固定资产、无形资产和其他长期资产支付的现金||646,976,072.86|36,195,065.83|397,997,407.34|47,098,895.71
投资支付的现金||129,187,468.09|301,792,110.00|126,120,301.78|8,255,000.00
取得子公司及其他营业单位支付的现金净额|||||
支付其他与投资活动有关的现金|五、58|3,924,163.00||18,404,270.38|
投资活动现金流出小计||780,087,703.95|337,987,175.83|542,521,979.50|55,353,895.71
投资活动产生的现金流量净额||-467,844,014.98|1,155,897,123.09|-316,024,480.00|243,402,073.98
三、筹资活动产生的现金流量：|||||
吸收投资收到的现金||357,264,512.67|352,264,512.67|11,702,474.00|
其中：子公司吸收少数股东投资收到的现金||5,000,000.00||11,702,474.00|
取得借款收到的现金||2,383,579,914.03|1,260,000,000.00|1,509,316,912.60|1,300,000,000.00
收到其他与筹资活动有关的现金|五、58|2,778,643.64|1,642,905.48|2,926,091.34|1,273,517,481.18
筹资活动现金流入小计||2,743,623,070.34|1,613,907,418.15|1,523,945,477.94|2,573,517,481.18
偿还债务支付的现金||1,829,811,030.60|1,250,100,000.00|1,650,000,000.00|1,650,000,000.00
分配股利、利润或偿付利息支付的现金||1,181,793,042.82|1,089,293,506.59|1,054,757,971.85|868,457,971.85
其中：子公司支付少数股东的股利、利润||81,760,934.22||186,300,000.00|
支付其他与筹资活动有关的现金|五、58|250,061,413.16|304,581,468.73|269,345.90|7,349,101.31
筹资活动现金流出小计||3,261,665,486.58|2,643,974,975.32|2,705,027,317.75|2,525,807,073.16
筹资活动产生的现金流量净额||-518,042,416.24|-1,030,067,557.17|-1,181,081,839.81|47,710,408.02
四、汇率变动对现金及现金等价物的影响||-77,010,038.66|-1,032,304.81|20,418,084.63|-563,420.70
五、现金及现金等价物净增加额||1,097,864,136.54|521,020,006.68|290,474,647.59|267,517,288.96
加：期初现金及现金等价物余额||8,854,185,853.54|7,772,918,903.18|8,563,711,205.95|7,505,401,614.22
六、期末现金及现金等价物余额||9,952,049,990.08|8,293,938,909.86|8,854,185,853.54|7,772,918,903.18
董事长兼法定代表人：朱保国|执行董事兼总裁：唐阳刚    主管会计工作负责人：司燕霞    会计机构负责人：庄健莹||||
