page|104
项目|附注七|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||242,379,468|252,542,468
拆入资金净增加额||-|2,781,987
拆出资金净减少额||139,524|-
收到的税费返还||973,703|1,388,569
收到其他与经营活动有关的现金|68|4,480,394|3,447,164
经营活动现金流入小计||247,973,089|260,160,188
购买商品、接受劳务支付的现金||188,444,202|173,870,259
吸收存款及同业存放净减少额||1,454,903|-
支付给职工及为职工支付的现金||30,858,156|32,190,753
支付的各项税费||12,206,794|14,624,108
支付其他与经营活动有关的现金|68|17,041,427|16,944,532
经营活动现金流出小计||250,005,482|237,629,652
经营活动(使用)/产生的现金流量净额|69|(2,032,393)|22,530,536
二、投资活动产生的现金流量：|||
收回投资收到的现金||66,837,677|69,239,448
取得投资收益收到的现金||686,995|628,440
处置固定资产、无形资产和其他长期资产收回的现金净额||1,206,900|2,675,535
处置子公司及其他营业单位收到的现金净额||332,748|588,830
投资活动现金流入小计||69,064,320|73,132,253
购建固定资产、无形资产和其他长期资产支付的现金||7,775,493|8,064,827
投资支付的现金||60,800,183|69,627,844
非同一控制下收购子公司支付的现金净额||175,865|-
处置子公司所支付的现金||-|8,450
投资活动现金流出小计||68,751,541|77,701,121
投资活动产生/(使用)的现金流量净额||312,779|(4,568,868)
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||313,301|895,110
其中：子公司吸收少数股东投资收到的现金||313,301|895,110
取得借款收到的现金||60,552,618|142,162,080
发行债券收到的现金||70,200,000|43,000,000
筹资活动现金流入小计||131,065,919|186,057,190
偿还债务支付的现金||128,349,914|192,283,239
分配股利、利润或偿付利息支付的现金||6,015,131|6,044,864
其中：子公司支付给少数股东的股利、利润||670,852|743,941
支付其他与筹资活动有关的现金||653,726|422,224
筹资活动现金流出小计||135,018,771|198,750,327
筹资活动使用的现金流量净额||(3,952,852)|(12,693,137)
四、汇率变动对现金及现金等价物的影响||(306,742)|260,961
五、现金及现金等价物净(减少)/增加额|69|(5,979,208)|5,529,492
加：期初现金及现金等价物余额|69|35,819,586|30,290,094
六、期末现金及现金等价物余额|69|29,840,378|35,819,586
