page|66
项目|附注|2021 年度|2020 年度
一、营业总收入||2,699,188,805.10|2,400,893,159.83
其中：营业收入|七、61|2,699,188,805.10|2,400,893,159.83
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||2,502,496,996.14|2,145,305,485.12
其中：营业成本|七、61|2,317,491,518.75|1,962,120,226.28
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、62|13,398,214.48|15,383,016.21
销售费用|七、63|41,641,724.41|39,833,938.30
管理费用|七、64|84,724,597.08|77,582,887.88
研发费用|七、65|35,198,709.78|31,695,875.36
财务费用|七、66|10,042,231.64|18,689,541.09
其中：利息费用||4,682,236.08|8,788,581.98
利息收入||3,793,179.73|3,023,247.19
加：其他收益|七、67|10,168,440.24|11,400,378.75
投资收益（损失以“－”号填列）|七、68|12,130,676.28|13,565,831.02
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七、70|5,264,571.16|95,223.05
信用减值损失（损失以“-”号填列）|七、71|-7,843,224.94|-5,675,514.98
资产减值损失（损失以“-”号填列）|七、72|-18,627,565.82|-16,330,808.84
资产处置收益（损失以“－”号填列）|七、73|160,557.57|103,288.72
三、营业利润（亏损以“－”号填列）||197,945,263.45|258,746,072.43
加：营业外收入|七、74|4,587,342.57|2,452,196.32
减：营业外支出|七、75|839,320.00|7,604,897.79
page|67
四、利润总额（亏损总额以“－”号填列）||201,693,286.02|253,593,370.96
减：所得税费用|七、76|25,344,008.20|33,156,007.40
五、净利润（净亏损以“－”号填列）||176,349,277.82|220,437,363.56
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||176,349,277.82|220,437,363.56
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||176,349,277.82|220,437,363.56
2.少数股东损益（净亏损以“-”号填列）|||
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||176,349,277.82|220,437,363.56
（一）归属于母公司所有者的综合收益总额||176,349,277.82|220,437,363.56
（二）归属于少数股东的综合收益总额|||
八、每股收益：|||
（一）基本每股收益(元/股)||0.44|0.55
（二）稀释每股收益(元/股)||0.44|0.55
