page|121
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||806,460,124.49|522,173,125.16
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||1,758,334.68|4,563,384.12
page|122
收到其他与经营活动有关的现金|七、78|178,951,946.97|41,043,793.18
经营活动现金流入小计||987,170,406.14|567,780,302.46
购买商品、接受劳务支付的现金||383,764,306.94|197,718,716.60
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||259,082,926.16|178,020,029.41
支付的各项税费||29,155,389.79|19,515,292.18
支付其他与经营活动有关的现金|七、78|148,216,155.65|93,072,932.07
经营活动现金流出小计||820,218,778.54|488,326,970.26
经营活动产生的现金流量净额||166,951,627.60|79,453,332.20
二、投资活动产生的现金流量：|||
收回投资收到的现金||969,491.02|
取得投资收益收到的现金||6,024,000.37|4,782,911.08
处置固定资产、无形资产和其他长期资产收回的现金净额||14,235.00|1,792.92
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、78|975,800,000.00|943,000,000.00
投资活动现金流入小计||982,807,726.39|947,784,704.00
购建固定资产、无形资产和其他长期资产支付的现金||65,860,029.69|15,420,049.26
投资支付的现金||17,314,301.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||30,559,388.15|14,037,211.71
支付其他与投资活动有关的现金|七、78|967,000,000.00|943,000,000.00
投资活动现金流出小计||1,080,733,718.84|972,457,260.97
投资活动产生的现金流量净额||-97,925,992.45|-24,672,556.97
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||5,000,000.00|820,136,845.00
其中：子公司吸收少数股东投资收到的现金||5,000,000.00|
取得借款收到的现金||140,312,418.02|104,352,554.80
page|123
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||145,312,418.02|924,489,399.80
偿还债务支付的现金|||164,218,037.20
分配股利、利润或偿付利息支付的现金||48,353,880.01|2,653,345.72
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、78|9,316,826.42|17,803,773.58
筹资活动现金流出小计||57,670,706.43|184,675,156.50
筹资活动产生的现金流量净额||87,641,711.59|739,814,243.30
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||156,667,346.74|794,595,018.53
加：期初现金及现金等价物余额|七、79|899,449,847.89|104,854,829.36
六、期末现金及现金等价物余额||1,056,117,194.63|899,449,847.89
