page|112
项目|附注|2020 年度 合并|2019 年度 合并|2020 年度 公司|2019 年度 公司
|||||
一、经营活动产生的现金流量|||||
销售商品、提供劳务收到的现金||11,369,033,493|9,517,987,346|2,281,464,988|2,338,469,571
收到其他与经营活动有关的现金|四(58)(a)|160,643,093|125,156,919|17,491,802|47,084,379
经营活动现金流入小计||11,529,676,586|9,643,144,265|2,298,956,790|2,385,553,950
购买商品、接受劳务支付的现金||(8,678,375,943)|(5,553,912,454)|(1,684,877,864)|(1,644,565,774)
支付给职工以及为职工支付的现金||(675,434,433)|(821,499,669)|(148,926,148)|(174,180,153)
支付的各项税费||(786,474,862)|(816,074,146)|(77,651,173)|(109,047,418)
支付其他与经营活动有关的现金|四(58)(b)|(665,792,243)|(954,017,377)|(221,268,075)|(367,279,513)
经营活动现金流出小计||(10,806,077,481)|(8,145,503,646)|(2,132,723,260)|(2,295,072,858)
经营活动产生的现金流量净额||723,599,105|1,497,640,619|166,233,530|90,481,092
|||||
二、投资活动产生的现金流量|||||
收回投资收到的现金||23,000,000|272,267,403|-|-
取得投资收益所收到的现金||128,124,611|69,944,017|78,216,756|34,172,418
处置固定资产、无形资产和其他长期资产收         回的现金净额||296,798,745|28,094,732|4,677,229|353,479
处置子公司及其他营业单位收到的现金净额||5,588,001|-|2,238,000|-
收到其他与投资活动有关的现金|四(58)(c)|58,430,461|209,744,005|3,434,279,537|5,144,330,303
投资活动现金流入小计||511,941,818|580,050,157|3,519,411,522|5,178,856,200
购建固定资产、无形资产和其他长期资产支付的现金||(457,288,971)|(212,606,449)|(220,266,277)|(63,161,117)
投资支付的现金||(187,750,000)|(507,378,948)|(334,710,000)|(2,173,279,752)
取得子公司及其他营业单位支付的现金净额||-|(1,290,184,808)|-|-
支付其他与投资活动有关的现金|四(58)(d)|(9,385,834)|(33,653,369)|(3,989,887,719)|(4,326,882,377)
投资活动现金流出小计||(654,424,805)|(2,043,823,574)|(4,544,863,996)|(6,563,323,246)
投资活动使用的现金流量净额||(142,482,987)|(1,463,773,417)|(1,025,452,474)|(1,384,467,046)
|||||
三、筹资活动产生的现金流量|||||
吸收投资收到的现金||2,250,000|-|-|-
取得借款收到的现金||2,913,353,349|3,102,210,175|1,523,900,000|2,284,900,000
发行债券收到的现金||1,086,800,000|-|1,086,800,000|-
收到其他与筹资活动有关的现金|四(58)(e)|489,417,215|1,938,334,659|3,825,211,428|4,341,505,592
筹资活动现金流入小计||4,491,820,564|5,040,544,834|6,435,911,428|6,626,405,592
偿还债务支付的现金||(3,034,420,866)|(4,320,951,780)|(1,998,536,513)|(3,316,647,200)
分配股利、利润或偿付利息支付的现金||(670,998,743)|(521,788,334)|(561,872,613)|(427,570,424)
其中：子公司支付给少数股东的股利、利润||(21,122,783)|(19,478,325)|-|-
支付其他与筹资活动有关的现金|四(58)(f)|(863,031,357)|(708,930,877)|(2,992,912,836)|(1,865,289,895)
筹资活动现金流出小计||(4,568,450,966)|(5,551,670,991)|(5,553,321,962)|(5,609,507,519)
筹资活动(使用)/产生的现金流量净额||(76,630,402)|(511,126,157)|882,589,466|1,016,898,073
|||||
四、汇率变动对现金及现金等价物的影响||(2,382,877)|14,311,190|(861,916)|14,183,368
|||||
五、现金及现金等价物净增加额|四(59)|502,102,839|(462,947,765)|22,508,606|(262,904,513)
加：年初现金及现金等价物余额||447,776,431|910,724,196|184,891,803|447,796,316
|||||
六、年末现金及现金等价物余额||949,879,270|447,776,431|207,400,409|184,891,803
