page|110
项目|附注|2020 年 12 月 31 日 合并|2019 年 12 月 31 日 合并|2020 年 12 月 31 日 公司|2019 年 12 月 31 日 公司
|||||
流动资产|||||
货币资金|四(1)|1,016,802,261|583,307,135|248,400,522|247,240,816
应收账款|四(2)、十六(1)|2,531,213,595|2,573,024,625|328,385,612|437,464,053
应收款项融资|四(3)|150,928,745|105,091,234|584,148|-
预付款项|四(4)|250,432,059|201,611,492|81,949,988|113,820,812
其他应收款|四(5)、十六(2)|139,446,083|101,231,611|4,982,879,573|4,211,371,772
存货|四(6)|1,327,434,251|1,085,589,768|111,839,401|97,684,729
其他流动资产|四(7)|273,858,923|272,479,297|8,981,152|18,726,655
流动资产合计||5,690,115,917|4,922,335,162|5,763,020,396|5,126,308,837
|||||
非流动资产|||||
长期股权投资|四(10)、六(2)、十六(3)|2,578,179,263|2,552,477,391|5,511,036,051|5,151,424,954
其他权益工具投资|四(8)|231,867,149|257,311,746|3,285,551|2,325,511
其他非流动金融资产|四(9)|17,787,786|18,015,886|8,950,600|9,178,700
投资性房地产|四(11)|165,918,915|124,406,533|50,953,836|-
固定资产|四(12)|4,697,980,879|5,235,763,977|425,949,551|422,023,329
在建工程|四(13)|313,307,662|108,015,736|133,934,601|79,339,329
无形资产|四(14)|513,740,833|684,358,693|49,491,739|54,854,641
商誉|四(15)|59,044,086|88,450,571|-|-
长期待摊费用|四(16)|60,023,666|92,572,496|7,954,696|12,487,528
递延所得税资产|四(17)|71,550,485|72,239,691|46,536,549|42,966,708
其他非流动资产|四(18)|694,023,546|577,106,245|34,538,305|40,332,567
非流动资产合计||9,403,424,270|9,810,718,965|6,272,631,479|5,814,933,267
|||||
资产总计||15,093,540,187|14,733,054,127|12,035,651,875|10,941,242,104
|||||
流动负债|||||
短期借款|四(20)|2,126,477,818|1,719,001,537|1,209,224,126|1,176,600,874
应付票据|四(21)|113,724,363|312,636,838|11,392,039|168,102,672
应付账款|四(22)|1,907,829,200|2,339,402,778|290,641,530|352,920,232
预收款项|四(23)|-|57,627,109|-|4,081,994
合同负债|四(24)|67,010,551|——|5,255,656|——
应付职工薪酬|四(25)|185,036,877|140,882,446|95,465,271|55,996,064
应交税费|四(26)|209,243,838|135,869,539|14,629,772|10,522,118
其他应付款|四(27)|278,624,944|338,527,237|2,034,739,150|4,707,165,773
一年内到期的非流动负债|四(28)|1,057,435,784|1,480,547,058|409,732,225|868,726,354
流动负债合计||5,945,383,375|6,524,494,542|4,071,079,769|7,344,116,081
|||||
非流动负债|||||
长期借款|四(29)|1,073,626,857|1,077,419,660|630,589,987|673,500,000
应付债券|四(30)|543,473,787|-|543,473,787|-
长期应付款|四(31)|458,390,440|857,842,308|13,516,146|49,719,368
递延收益|四(32)|191,427,965|185,427,767|8,298,053|4,253,632
递延所得税负债|四(17)|76,740,453|104,434,924|-|-
其他非流动负债|四(33)|8,810,000|9,610,000|8,810,000|9,610,000
非流动负债合计||2,352,469,502|2,234,734,659|1,204,687,973|737,083,000
|||||
负债合计||8,297,852,877|8,759,229,201|5,275,767,742|8,081,199,081
|||||
股东权益|||||
股本|四(34)|2,416,315,493|2,355,225,600|2,416,315,493|2,355,225,600
其他权益工具|四(37)|184,987,971|-|184,987,971|-
资本公积|四(36)|195,263,090|(18,503,121)|347,080,580|104,359,920
减：库存股|四(35)|-|(124,651,364)|-|(124,651,364)
其他综合收益|四(38)|(92,716,287)|(83,082,808)|(7,402,024)|(7,649,667)
盈余公积|四(39)|684,805,824|313,896,771|684,805,824|313,896,771
未分配利润|四(40)|3,200,163,712|3,286,589,479|3,134,096,289|218,861,763
归属于母公司股东权益合计||6,588,819,803|5,729,474,557|6,759,884,133|2,860,043,023
少数股东权益||206,867,507|244,350,369|-|-
股东权益合计||6,795,687,310|5,973,824,926|6,759,884,133|2,860,043,023
|||||
负债和股东权益总计||15,093,540,187|14,733,054,127|12,035,651,875|10,941,242,104
page|111
项目|附注|2020 年度 合并|2019 年度 合并|2020 年度 公司|2019 年度 公司
|||||
一、营业收入|四(41)、十六(4)|10,561,012,720|9,369,162,549|2,245,482,348|2,532,854,630
减：  营业成本|四(41)、十六(4)|(8,356,983,172)|(7,092,991,096)|(1,700,027,615)|(1,988,208,791)
税金及附加|四(42)|(72,120,425)|(67,354,737)|(11,333,301)|(12,191,286)
