page|202
项       目|附注|本期发生额|上期发生额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||6,644,635,572.75|5,601,234,727.96
收到的税费返还||267,780,982.79|155,799,210.81
收到其他与经营活动有关的现金||186,584,612.01|161,836,879.90
经营活动现金流入小计|五）60|7,099,001,167.55|5,918,870,818.67
购买商品、接受劳务支付的现金||5,203,955,142.23|3,960,335,675.34
支付给职工以及为职工支付的现金||823,656,476.36|671,961,076.64
支付的各项税费||193,039,529.15|215,289,776.03
支付其他与经营活动有关的现金||451,838,598.09|404,644,218.60
经营活动现金流出小计|五）60|6,672,489,745.83|5,252,230,746.61
经营活动产生的现金流量净额||426,511,421.72|666,640,072.06
二、投资活动产生的现金流量：|||
收回投资收到的现金||874,190,106.71|15,320,164.63
取得投资收益收到的现金||51,546,175.11|65,816,941.93
处置固定资产、无形资产和其他长期资产收回||23,877,843.88|2,571,170.39
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||20,000,000.00
投资活动现金流入小计|五）60|949,614,125.70|103,708,276.95
购建固定资产、无形资产和其他长期资产支付||61,016,442.42|94,315,205.88
的现金 投资支付的现金|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计|五）60|61,016,442.42|94,315,205.88
投资活动产生的现金流量净额||888,597,683.28|9,393,071.07
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||721,995,518.09|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||960,000,000.00|1,800,000,000.00
收到其他与筹资活动有关的现金||586,535,319.53|982,381,420.07
筹资活动现金流入小计|五）60|2,268,530,837.62|2,782,381,420.07
偿还债务支付的现金||1,902,000,000.00|1,992,000,000.00
分配股利、利润或偿付利息支付的现金||65,350,783.31|85,633,145.53
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||940,764,576.29|1,136,509,663.76
筹资活动现金流出小计|五）60|2,908,115,359.60|3,214,142,809.29
筹资活动产生的现金流量净额||-639,584,521.98|-431,761,389.22
四、汇率变动对现金及现金等价物的影响||-5,089,391.49|-16,753,462.01
五、现金及现金等价物净增加额||670,435,191.53|227,518,291.90
加：期初现金及现金等价物余额||1,309,719,640.13|1,082,201,348.23
六、期末现金及现金等价物余额||1,980,154,831.66|1,309,719,640.13
