page|200
项             目|附注|本期发生额|上期发生额
一、营业收入|五）44|9,159,943,043.64|7,098,162,031.02
减：营业成本|五）44|7,845,269,877.44|6,123,306,926.19
税金及附加|五）45|42,789,809.24|42,297,965.78
销售费用|五）46|331,399,338.20|271,497,532.29
管理费用|五）47|377,787,782.54|282,304,748.51
研发费用|五）48|339,882,562.21|251,571,959.52
财务费用|五）49|56,005,956.69|121,497,315.87
其中：利息费用||50,959,310.21|81,070,780.63
利息收入||26,706,180.45|16,851,950.39
加：其他收益|五）50|67,222,687.35|46,062,608.88
投资收益（损失以“－”号填列）|五）51|81,703,216.61|103,474,725.21
其中：对联营企业和合营企业的投资收益||84,945,007.21|103,238,323.38
以摊余成本计量的金融资产终止确认收益（损失以“－”号填列）|||
净敞口套期收益（损失以“－”号填列）|||
公允价值变动收益（损失以“－”号填列）|五）52|244,878.34|
信用减值损失（损失以“－”号填列）|五）53|-37,099,999.22|-6,021,808.94
资产减值损失（损失以“－”号填列）|五）54|-32,196,763.77|-42,413,861.77
资产处置收益（损失以“－”号填列）|五）55|-33,071,119.88|384,776.17
二、营业利润（亏损以“－”号填列）||213,610,616.75|107,172,022.41
加：营业外收入|五）56|832,213.17|2,252,688.12
减：营业外支出|五）57|6,613,642.29|4,262,776.72
三、利润总额（亏损总额以“－”号填列）||207,829,187.63|105,161,933.81
减：所得税费用|五）58|-3,114,736.99|-78,650.41
四、净利润（净亏损以“－”号填列）||210,943,924.62|105,240,584.22
（一）按经营持续性分类：|||
1.持续经营净利润（净亏损以“－”号填列）||210,943,924.62|105,240,584.22
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类：|||
1.归属于母公司股东的净利润（净亏损以“－”号填列）||209,474,938.40|100,754,429.96
2.少数股东损益（净亏损以“－”号填列）||1,468,986.22|4,486,154.26
五、其他综合收益的税后净额||-36,886.70|-2,055,289.74
（一）归属母公司股东的其他综合收益的税后净额||-36,886.70|-1,976,911.22
1.不能重分类进损益的其他综合收益|||-301,760.04
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||-301,760.04
（4）企业自身信用风险公允价值变动|||
2.将重分类进损益的其他综合收益||-36,886.70|-1,675,151.18
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备（现金流量套期损益的有效部分）|||
（6）外币财务报表折算差额||-36,886.70|-1,675,151.18
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||0.00|-78,378.52
六、综合收益总额||210,907,037.92|103,185,294.48
（一）归属于母公司股东的综合收益总额||209,438,051.70|98,777,518.74
（二）归属于少数股东的综合收益总额||1,468,986.22|4,407,775.74
七、每股收益|||
（一）基本每股收益||0.1480|0.0812
（二）稀释每股收益||0.1480|0.0812
