page|65
项目|附 注|2019 年度|2018 年度
一、营业总收入||649,641,627.81|590,380,206.48
其中：营业收入||649,641,627.81|590,380,206.48
利息收入|||
已赚保费|||
page|66
手续费及佣金收入|||
二、营业总成本||511,161,469.55|459,145,912.28
其中：营业成本||386,494,518.33|355,885,517.93
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||6,258,951.62|5,310,584.75
销售费用||42,361,087.84|32,932,650.07
管理费用||22,071,443.93|18,986,852.86
研发费用||55,028,868.04|44,719,253.28
财务费用||-1,053,400.21|1,311,053.39
其中：利息费用|||1,829,116.70
利息收入||808,128.54|459,738.18
加：其他收益||26,432,307.18|25,583,996.71
投资收益（损失以“－”号填列）||28,714,248.86|27,223,440.59
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||-153,685.23|33,685.23
信用减值损失（损失以“-”号填列）||225,502.36|
资产减值损失（损失以“-”号填列）||-6,358,394.76|-10,341,433.43
资产处置收益（损失以“－”号填列）||-627,853.59|-969,102.42
三、营业利润（亏损以“－”号填列）||186,712,283.08|172,764,880.88
加：营业外收入||25,825.10|144,900.02
减：营业外支出||895,240.75|380,371.26
四、利润总额（亏损总额以“－”号填列）||185,842,867.43|172,529,409.64
减：所得税费用||22,419,321.90|23,899,876.62
五、净利润（净亏损以“－”号填列）||163,423,545.53|148,629,533.02
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||163,423,545.53|148,629,533.02
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||163,452,268.42|148,630,008.49
2.少数股东损益（净亏损以“-”号填列）||-28,722.89|-475.47
六、其他综合收益的税后净额||65,212.37|17,704.85
page|67
（一）归属母公司所有者的其他综合收益的税后净额||58,691.13|15,934.37
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||58,691.13|15,934.37
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||58,691.13|15,934.37
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||6,521.24|1,770.48
七、综合收益总额||163,488,757.90|148,647,237.87
（一）归属于母公司所有者的综合收益总额||163,510,959.55|148,645,942.86
（二）归属于少数股东的综合收益总额||-22,201.65|1,295.01
八、每股收益：|||
（一）基本每股收益(元/股)||1.16|1.06
（二）稀释每股收益(元/股)||1.16|1.06
