page|69
项目|附 注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||456,114,017.67|347,464,023.67
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||22,901,033.47|22,690,361.94
收到其他与经营活动有关的现金||13,654,380.07|13,263,390.62
经营活动现金流入小计||492,669,431.21|383,417,776.23
购买商品、接受劳务支付的现金||155,967,505.17|114,976,787.41
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||105,295,392.31|88,818,176.04
支付的各项税费||67,115,228.16|78,027,730.87
支付其他与经营活动有关的现金||37,283,340.40|37,438,777.30
经营活动现金流出小计||365,661,466.04|319,261,471.62
经营活动产生的现金流量净额||127,007,965.17|64,156,304.61
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,234,765,435.52|1,188,595,517.17
取得投资收益收到的现金||27,165,395.60|27,803,566.41
处置固定资产、无形资产和其他长期资产收回的现金净额||377,983.00|376,100.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||1,262,308,814.12|1,216,775,183.58
购建固定资产、无形资产和其他长期资产支付的现金||78,874,837.17|29,228,255.68
投资支付的现金||1,252,575,324.58|1,218,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
page|70
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,331,450,161.75|1,247,228,255.68
投资活动产生的现金流量净额||-69,141,347.63|-30,453,072.10
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||400,000.00|250,000.00
其中：子公司吸收少数股东投资收到的现金||400,000.00|250,000.00
取得借款收到的现金||-|40,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||400,000.00|40,250,000.00
偿还债务支付的现金|||40,000,000.00
分配股利、利润或偿付利息支付的现金||21,084,000.00|21,793,626.58
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||1,320,000.00|1,000,000.00
筹资活动现金流出小计||22,404,000.00|62,793,626.58
筹资活动产生的现金流量净额||-22,004,000.00|-22,543,626.58
四、汇率变动对现金及现金等价物的影响||313,443.30|300,857.71
五、现金及现金等价物净增加额||36,176,060.84|11,460,463.64
加：期初现金及现金等价物余额||58,983,348.07|47,522,884.43
六、期末现金及现金等价物余额||95,159,408.91|58,983,348.07
