page|109
项目|附注五|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||260,129,642.55|354,291,336.49
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||3,928,065.32|12,173,587.05
收到其他与经营活动有关的现金|（四十七）|9,478,015.56|4,784,580.00
经营活动现金流入小计||273,535,723.43|371,249,503.54
购买商品、接受劳务支付的现金||102,984,095.70|126,057,774.62
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||110,021,477.31|102,673,524.95
支付的各项税费||15,286,045.25|28,423,691.34
支付其他与经营活动有关的现金|（四十七）|34,777,415.10|46,151,109.17
经营活动现金流出小计||263,069,033.36|303,306,100.08
经营活动产生的现金流量净额|（四十八）|10,466,690.07|67,943,403.46
二、投资活动产生的现金流量|||
收回投资收到的现金||650,000,000.00|2,000,000.00
取得投资收益收到的现金||6,855,081.63|66,304.10
处置固定资产、无形资产和其他长期资产收回的现金净额||2,030.00|2,240.42
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|（四十七）|100,000,000.00|325,280.17
投资活动现金流入小计||756,857,111.63|2,393,824.69
购建固定资产、无形资产和其他长期资产支付的现金||238,043,525.25|94,741,829.34
投资支付的现金||909,900,000.00|28,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,147,943,525.25|122,741,829.34
投资活动产生的现金流量净额||-391,086,413.62|-120,348,004.65
三、筹资活动产生的现金流量|||
吸收投资收到的现金||642,547,905.63|9,685,736.88
page|110
项目|附注五|本期金额|上期金额
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||5,000,000.00|9,900,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||647,547,905.63|19,585,736.88
偿还债务支付的现金||9,900,000.00|2,000,000.00
分配股利、利润或偿付利息支付的现金||30,709,115.71|25,205,486.56
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（四十七）|70,940,834.65|35,649,829.35
筹资活动现金流出小计||111,549,950.36|62,855,315.91
筹资活动产生的现金流量净额||535,997,955.27|-43,269,579.03
四、汇率变动对现金及现金等价物的影响||-400,580.55|226,384.72
五、现金及现金等价物净增加额||154,977,651.17|-95,447,795.50
加：期初现金及现金等价物余额||122,630,428.07|218,078,223.57
六、期末现金及现金等价物余额||277,608,079.24|122,630,428.07
