page|138
项目|附注|2019 年度|2018 年度
一、营业总收入|||33,904,078,037.08  27,940,083,194.12
其中：营业收入|||33,904,078,037.08  27,940,083,194.12
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|||31,481,294,079.48  24,634,020,889.06
其中：营业成本|||28,528,079,586.41  22,235,499,345.56
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|2|100,926,315.07|105,772,147.15
销售费用|3|852,355,481.10|708,082,552.42
管理费用|4|1,130,226,206.55|935,181,101.39
研发费用|5|788,809,631.31|622,688,186.50
财务费用|6|80,896,859.04|26,797,556.04
其中：利息费用||143,394,257.53|102,904,581.55
利息收入||79,461,455.44|97,581,280.63
加：其他收益|7|213,284,524.29|204,996,457.11
投资收益（损失以“－”号填列）|8|99,307,986.44|309,137,590.79
其中：对联营企业和合营企业的投资收益||6,102,929.79|8,030,579.21
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|9|446,438,482.28|-348,011,100.36
信用减值损失（损失以“-”号填列）|10|-69,092,396.62|
资产减值损失（损失以“-”号填列）|11|-249,220,392.62|-71,092,136.91
page|139
资产处置收益（损失以“－”号填列）|12|59,453,106.05|-1,589,052.89
三、营业利润（亏损以“－”号填列）||2,922,955,267.42|3,399,504,062.80
加：营业外收入|13|86,347,593.55|7,937,568.74
减：营业外支出|14|24,869,101.10|55,827,513.49
四、利润总额（亏损总额以“－”号填列）||2,984,433,759.87|3,351,614,118.05
减：所得税费用|15|569,752,565.59|579,247,580.16
五、净利润（净亏损以“－”号填列）||2,414,681,194.28|2,772,366,537.89
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||2,422,427,174.64|2,772,366,537.89
2.终止经营净利润（净亏损以“－”号填列）||-7,745,980.36|
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,424,998,054.79|1,617,999,798.23
2.少数股东损益（净亏损以“-”号填列）||989,683,139.49|1,154,366,739.66
六、其他综合收益的税后净额||3,086,636.87|1,205,144.11
（一）归属母公司所有者的其他综合收益的税后净额||3,086,636.87|1,205,144.11
1．不能重分类进损益的其他综合收益||1,673,991.41|
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||1,673,991.41|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||1,412,645.46|1,205,144.11
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
page|140
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||1,412,645.46|1,205,144.11
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||2,417,767,831.15|2,773,571,682.00
（一）归属于母公司所有者的综合收益总额||1,428,084,691.66|1,619,204,942.34
（二）归属于少数股东的综合收益总额||989,683,139.49|1,154,366,739.66
八、每股收益：|||
（一）基本每股收益(元/股)||0.77|0.87
（二）稀释每股收益(元/股)||0.77|0.87
