page|45
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31日
流动资产：|||
货币资金||856,793,428.27|544,929,673.24
交易性金融资产|||89,046,000.00
应收票据||31,496,650.18|48,683,640.74
应收账款||1,316,480,299.90|1,394,198,302.27
应收款项融资||316,189,633.26|217,164,273.67
预付款项||221,015,098.38|207,296,142.86
其他应收款||26,159,471.63|24,411,014.47
存货||1,740,251,771.85|1,687,743,412.12
其他流动资产||133,387,274.42|188,989,750.81
流动资产合计||4,641,773,627.89|4,402,462,210.18
非流动资产：|||
固定资产||1,915,208,194.88|1,535,417,901.82
在建工程||277,705,078.27|337,180,500.76
无形资产||415,307,058.56|340,274,048.28
开发支出||17,879,123.51|
商誉||196,264,229.88|196,264,229.88
长期待摊费用||5,454,537.63|7,964,407.88
递延所得税资产||35,939,238.49|33,899,924.14
其他非流动资产||27,598,687.55|62,227,423.75
非流动资产合计||2,891,356,148.77|2,513,228,436.51
资产总计||7,533,129,776.66|6,915,690,646.69
流动负债：|||
短期借款||1,722,759,953.66|1,344,873,228.89
应付票据||583,760,921.99|808,113,625.61
page|46
应付账款||802,803,921.56|792,932,601.06
预收款项|||31,160,537.57
合同负债||43,366,440.09|
应付职工薪酬||58,775,097.91|46,952,822.75
应交税费||24,142,548.64|26,324,439.04
其他应付款||51,692,492.55|18,532,456.48
其中：应付利息|||
应付股利||23,105,000.00|
一年内到期的非流动负债||858,388,571.19|134,395,775.72
其他流动负债||7,207,852.65|
流动负债合计||4,152,897,800.24|3,203,285,487.12
非流动负债：|||
长期借款||476,620,000.00|888,728,524.00
递延收益||92,219,235.92|104,341,102.63
递延所得税负债|||6,900.00
其他非流动负债|||
非流动负债合计||568,839,235.92|993,076,526.63
负债合计||4,721,737,036.16|4,196,362,013.75
所有者权益（或股东权益）：|||
实收资本（或股本）||763,884,003.00|763,884,003.00
资本公积||959,568,308.30|959,568,308.30
盈余公积||34,317,311.91|30,109,759.51
一般风险准备|||
未分配利润||776,833,495.21|736,649,773.82
归属于母公司所有者权益（或股东权益）合计||2,534,603,118.42|2,490,211,844.63
少数股东权益||276,789,622.08|229,116,788.31
所有者权益（或股东权益）合计||2,811,392,740.50|2,719,328,632.94
负债和所有者权益（或股东权益）总计||7,533,129,776.66|6,915,690,646.69
