page|81
项           目|附注五|本期金额|上期金额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,331,274,801.35|2,165,865,438.32
收到的税费返还||3,984,902.00|5,096,924.80
收到其他与经营活动有关的现金|（四十三）|78,737,812.66|57,543,740.20
经营活动现金流入小计||1,413,997,516.01|2,228,506,103.32
购买商品、接受劳务支付的现金||968,845,362.61|1,699,322,019.51
支付给职工以及为职工支付的现金||144,365,094.41|136,763,050.21
支付的各项税费||40,161,219.78|89,933,046.65
支付其他与经营活动有关的现金|（四十三）|57,681,930.60|65,924,826.57
经营活动现金流出小计||1,211,053,607.40|1,991,942,942.94
经营活动产生的现金流量净额||202,943,908.61|236,563,160.38
二、投资活动产生的现金流量：|||
收回投资收到的现金||32,000,000.00|
取得投资收益收到的现金||6,273.97|
处置固定资产、无形资产和其他长期资产收回的现金净额||1,990,145.00|284,400.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|（四十三）|1,489,600.00|
投资活动现金流入小计||35,486,018.97|284,400.00
购建固定资产、无形资产和其他长期资产支付的现金||75,242,132.78|152,775,247.81
投资支付的现金||118,000,000.00|
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（四十三）||
投资活动现金流出小计||193,242,132.78|152,775,247.81
投资活动产生的现金流量净额||-157,756,113.81|-152,490,847.81
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
page|82
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,460,000,000.00|1,530,000,000.00
发行债券收到的现金|||
收到其他与筹资活动有关的现金|（四十三）|5,170,000.00|21,000,000.00
筹资活动现金流入小计||1,465,170,000.00|1,551,000,000.00
偿还债务支付的现金||1,605,940,000.00|1,078,250,000.00
分配股利、利润或偿付利息支付的现金||47,992,661.32|48,623,516.39
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（四十三）||5,170,000.00
筹资活动现金流出小计||1,653,932,661.32|1,132,043,516.39
筹资活动产生的现金流量净额||-188,762,661.32|418,956,483.61
四、汇率变动对现金及现金等价物的影响||108,255.78|314,438.45
五、现金及现金等价物净增加额||-143,466,610.74|503,343,234.63
加：期初现金及现金等价物余额||914,956,611.70|411,613,377.07
六：期末现金及现金等价物余额||771,490,000.96|914,956,611.70
