page|77
项          目|附注五|本期金额|上期金额
一、营业收入|（三十）|1,222,577,954.53|1,884,937,109.00
减:营业成本|（三十）|1,061,916,713.85|1,752,153,327.20
税金及附加|（三十一）|7,640,784.83|11,443,320.37
销售费用|（三十二）|5,599,305.43|3,715,812.95
管理费用|（三十三）|109,541,900.18|93,529,697.87
研发费用||-|
财务费用|（三十四）|22,310,708.04|39,606,243.43
其中:利息费用|（三十四）|49,212,452.58|48,580,643.69
利息收入|（三十四）|26,884,777.55|9,503,215.24
加：其他收益|（三十五）|10,137,838.38|8,428,575.96
投资收益(损失以“-”号填列）|（三十六）|-1,429,841.92|-2,205,628.45
其中：对联营企业和合营企业的投资收益|（三十六）|-1,429,841.92|-2,205,628.45
以摊余成本计量的金融资产终止确认收益||-|
净敞口套期收益||-|
公允价值变动收益(损失以“-”号填列）||-|-
信用减值损失（损失以“-”号填列）|（三十七）|-556,572.76|
资产减值损失（损失以“-”号填列）|（三十八）|-|-385,343.65
资产处置收益(损失以"-"号填列)|（三十九）|-279,099.94|-
二、营业利润(亏损以“-”号填列）||23,440,865.96|-9,673,688.96
加：营业外收入|（四十）|5,601,216.93|39,264,446.03
减：营业外支出|（四十一）|270,348.79|1,141,532.50
三、利润总额(亏损以“-”号填列）||28,771,734.10|28,449,224.57
减：所得税费用|（四十二）|3,078,791.48|15,996,399.82
四、净利润(净亏损以“-”号填列）||25,692,942.62|12,452,824.75
（一）按照经营持续性分类|||
1.持续经营净利润||25,692,942.62|12,452,824.75
2.终止经营净利润|||
（二）按所有权属分类|||
1.少数股东损益（净亏损以“-”号填列）||791,985.89|-6,800,941.37
page|78
2.归属于母公司股东的净利润（净亏损以“-”号填列）||24,900,956.73|19,253,766.12
五、其他综合收益的税后净额|||
归属母公司股东的其他综合收益的税后净额|||
（一）不能重分类进损益的其他综合收益|||
1.重新计量设定受益计划变动额|||
2.权益法下不能转损益的其他综合收益|||
3.其他权益工具投资公允价值变动|||
4.企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益|||
1.权益法下可转损益的其他综合收益|||
2.其他债权投资公允价值变动|||
3.可供出售金融资产公允价值变动损益|||
4.金融资产重分类计入其他综合收益的金额|||
5.持有至到期投资重分类为可供出售金融资产损益|||
6.其他债权投资信用减值准备|||
7.现金流量套期储备（现金流量套期损益的有效部分）|||
8.外币财务报表折算差额|||
9.其他|||
归属于少数股东的其他综合收益的税后净额|||
六、综合收益总额||25,692,942.62|12,452,824.75
归属于母公司所有者的综合收益总额||24,900,956.73|19,253,766.12
归属于少数股东的综合收益总额||791,985.89|-6,800,941.37
七、每股收益：|||
（一）基本每股收益||0.04|0.03
（二）稀释每股收益||0.04|0.03
