page|142
上海复旦张江生物医药股份有限公司|||
2021 年度合并现金流量表|||
(除特别注明外，金额单位为人民币元)|||
|附注|2021 年度|2020 年度
||合并|合并
一、经营活动产生的现金流量|||
销售产品、提供劳务收到的现金||1,119,991,690|802,045,045
收到的税费返还||7,933,500|-
收到其他与经营活动有关的现金|五(49)(a)|28,553,198|22,912,575
经营活动现金流入小计||1,156,478,388|824,957,620
购买商品、接受劳务支付的现金||(573,126,122)|(455,211,207)
支付给职工以及为职工支付的现金||(181,303,491)|(143,007,517)
支付的各项税费||(76,051,346)|(66,087,487)
支付其他与经营活动有关的现金|五(49)(b)|(57,097,654)|(47,648,115)
经营活动现金流出小计||(887,578,613)|(711,954,326)
经营活动产生的现金流量净额|五(49)(f)|268,899,775|113,003,294
二、投资活动使用的现金流量|||
处置固定资产收回的现金净额||1,706,401|12,026,152
处置子公司收到的现金净额||6,339,800|-
收到其他与投资活动有关的现金|五(49)(c)|3,242,158,144|3,104,949,369
投资活动现金流入小计||3,250,204,345|3,116,975,521
购建固定资产、无形资产和其他长期资产|||
支付的现金||(120,115,971)|(42,410,752)
取得联营企业和合营企业支付的现金||(265,959,483)|(36,000,000)
支付其他与投资活动有关的现金|五(49)(d)|(3,219,800,000)|(3,085,100,000)
投资活动现金流出小计||(3,605,875,454)|(3,163,510,752)
投资活动使用的现金流量净额||(355,671,109)|(46,535,231)
三、筹资活动(使用)/产生的现金流量|||
吸收投资收到的现金||-|996,190,000
取得借款收到的现金||-|51,057,427
筹资活动现金流入小计||-|1,047,247,427
偿还债务支付的现金||-|(200,000,000)
分配股利、利润或偿付利息支付的现金||(52,150,000)|(69,766,270)
支付的其他与筹资活动有关的现金|五(49)(e)|(49,013,764)|(23,634,007)
筹资活动现金流出小计||(101,163,764)|(293,400,277)
筹资活动(使用)/产生的现金流量|||
净额||(101,163,764)|753,847,150
四、汇率变动对现金的影响额||(74,183)|(224,431)
五、现金净(减少)/增加额|五(49)(g)|(188,009,281)|820,090,782
加：年初现金余额|五(49)(g)|1,396,890,192|576,799,410
六、年末现金余额|五(49)(g)|1,208,880,911|1,396,890,192
