page|59
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||661,874,218.13|696,337,232.47
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金||13,588,239.14|20,909,959.39
经营活动现金流入小计||675,462,457.27|717,247,191.86
购买商品、接受劳务支付的现金||393,116,197.45|410,807,387.76
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||103,711,069.73|95,267,514.71
支付的各项税费||102,181,159.25|106,594,312.43
支付其他与经营活动有关的现金||19,729,137.18|18,070,648.17
经营活动现金流出小计||618,737,563.61|630,739,863.07
经营活动产生的现金流量净额||56,724,893.66|86,507,328.79
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
page|60
取得投资收益收到的现金||4,716,384.34|14,129,677.44
处置固定资产、无形资产和其他长期资产收回的现金净额||692.56|124,028.04
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||300,000,000.00|458,000,000.00
投资活动现金流入小计||304,717,076.90|472,253,705.48
购建固定资产、无形资产和其他长期资产支付的现金||3,268,912.30|10,215,450.06
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||370,000,000.00|978,000,000.00
投资活动现金流出小计||373,268,912.30|988,215,450.06
投资活动产生的现金流量净额||-68,551,835.40|-515,961,744.58
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||8,750,000.00|7,500,000.00
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||8,750,000.00|7,500,000.00
筹资活动产生的现金流量净额||-8,750,000.00|-7,500,000.00
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-20,576,941.74|-436,954,415.79
加：期初现金及现金等价物余额||210,835,039.30|647,789,455.09
六、期末现金及现金等价物余额||190,258,097.56|210,835,039.30
