page|57
项目|附 注|2019 年度|2018 年度
一、营业总收入||1,260,272,468.40|1,310,210,114.21
其中：营业收入||1,260,272,468.40|1,310,210,114.21
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||967,294,450.48|1,042,449,250.36
其中：营业成本||636,224,369.54|751,324,845.90
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||10,520,315.17|11,689,122.12
销售费用||213,496,004.71|189,013,436.08
管理费用||55,771,206.89|48,626,579.45
研发费用||52,895,381.26|42,967,400.73
财务费用||-1,612,827.09|-1,172,133.92
其中：利息费用|||
利息收入||1,760,991.42|1,406,648.57
加：其他收益||2,920,775.43|3,523,657.14
投资收益（损失以“－”号填列）||29,829,254.85|36,202,823.87
其中：对联营企业和合营企业的投资收益|||
page|58
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||5,782,256.47|
信用减值损失（损失以“-”号填列）||-1,687,151.66|
资产减值损失（损失以“-”号填列）||-5,703,579.92|-4,445,921.69
资产处置收益（损失以“－”号填列）||-406,901.30|-373,606.67
三、营业利润（亏损以“－”号填列）||323,712,671.79|302,667,816.50
加：营业外收入||2,677,370.90|8,685,414.15
减：营业外支出||407,446.85|1,906,108.43
四、利润总额（亏损总额以“－”号填列）||325,982,595.84|309,447,122.22
减：所得税费用||44,895,805.72|48,866,570.37
五、净利润（净亏损以“－”号填列）||281,086,790.12|260,580,551.85
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||281,086,790.12|260,580,551.85
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||279,471,085.00|260,580,551.85
2.少数股东损益（净亏损以“-”号填列）||1,615,705.12|
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||281,086,790.12|260,580,551.85
（一）归属于母公司所有者的综合收益总额||279,471,085.00|260,580,551.85
（二）归属于少数股东的综合收益总额||1,615,705.12|
八、每股收益：|||
（一）基本每股收益(元/股)||0.70|0.65
（二）稀释每股收益(元/股)||0.70|0.65
