page|60
项目|附 注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,508,340,252.36|1,564,819,210.13
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金||7502,520.16|19,981,011.35
经营活动现金流入小计||1,515,842,772.52|1,584,800,221.48
购买商品、接受劳务支付的现金||726,552,663.96|853,372,570.77
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||145,972,991.73|134,575,298.69
支付的各项税费||132,562,095.45|121,755,902.70
支付其他与经营活动有关的现金||205,726,147.35|190,086,302.71
经营活动现金流出小计||1,210,813,898.49|1,299,790,074.87
经营活动产生的现金流量净额||305,028,874.03|285,010,146.61
二、投资活动产生的现金流量：|||
收回投资收到的现金||2,660,000,000.00|
page|61
取得投资收益收到的现金||29,447,143.74|36,202,823.87
处置固定资产、无形资产和其他长期资产收回的现金净额||91,263.60|389,493.66
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||2,689,538,407.34|36,592,317.53
购建固定资产、无形资产和其他长期资产支付的现金||36,635,812.21|279,126,180.05
投资支付的现金||3,220,000,000.00|42,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||7,235,854.46|
支付其他与投资活动有关的现金|||
投资活动现金流出小计||3,263,871,666.67|321,126,180.05
投资活动产生的现金流量净额||-574,333,259.33|-284,533,862.52
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金||803,583.21|
筹资活动现金流入小计||803,583.21|
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||100,248,042.15|62,133,898.67
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||246,929.17
筹资活动现金流出小计||100,248,042.15|62,380,827.84
筹资活动产生的现金流量净额||-99,444,458.94|-62,380,827.84
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-368,748,844.24|-61,904,543.75
加：期初现金及现金等价物余额||838,979,177.09|900,883,720.84
六、期末现金及现金等价物余额||470,230,332.85|838,979,177.09
