page|7
|第二节  公司简介和主要财务指标
一、  公司信息|
公司的中文名称|浙江台华新材料股份有限公司
公司的中文简称|台华新材
公司的外文名称|ZHEJIANG TAIHUA NEW MATERIAL CO.,LTD
公司的外文名称缩写|-
公司的法定代表人|施清岛
二、  联系人和联系方式|
|董事会秘书 证券事务代表
姓名 栾承连|胡萍哲
联系地址|浙江省嘉兴市秀洲区王店镇梅北路浙江省嘉兴市秀洲区王店镇梅
113 号|北路 113 号
电话 0573-83703555|0573-83703555
传真 0573-83706565|0573-83706565
电子信箱|luanchenglian@textaihua.com hupingzhe@textaihua.com
三、 基本情况简介|
公司注册地址|浙江省嘉兴市秀洲区王店镇工业园区
公司注册地址的历史变更情况|314011
公司办公地址|浙江省嘉兴市秀洲区王店镇梅北路113号
公司办公地址的邮政编码|314011
公司网址|www.textaihua.com
电子信箱|taihua@textaihua.com
四、 信息披露及备置地点|
|中国证券报 https://www.cs.com.cn/
公司披露年度报告的媒体名称及网址|上海证券报 https://www.cnstock.com/
|证券时报 http://www.stcn.com/
公司披露年度报告的证券交易所网址|www.sse.com.cn
公司年度报告备置地点|公司董事会办公室
