page|123
项目|附注七|2021 年度|2020 年度
一、营业总收入||931,125,068.60|798,906,310.35
其中：营业收入|61|931,125,068.60|798,906,310.35
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||904,470,897.36|772,687,105.15
其中：营业成本|61|783,503,053.65|668,939,212.69
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|5,667,815.78|4,535,382.54
销售费用|63|38,207,874.01|30,197,886.33
管理费用|64|38,869,021.94|35,399,637.22
研发费用|65|44,417,757.42|38,627,995.34
财务费用|66|-6,194,625.44|-5,013,008.97
其中：利息费用||4,197,608.91|4,853,110.30
利息收入||10,305,165.92|9,724,393.59
加：其他收益|67|14,213,200.78|31,209,726.89
投资收益（损失以“－”号填列）|68|175,249.82|-126,233.93
其中：对联营企业和合营企业的投资收益||73,112.84|-511,174.84
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|71|-7,755,814.23|-3,741,721.48
资产减值损失（损失以“-”号填列）|72|-5,713,408.40|-721,100.09
资产处置收益（损失以“－”号填列）|73|19,460.61|112,292.00
三、营业利润（亏损以“－”号填列）||27,592,859.82|52,952,168.59
加：营业外收入|74|37,200.18|18,595.62
减：营业外支出|75|2,016,822.30|1,179,773.76
page|124
四、利润总额（亏损总额以“－”号填列）||25,613,237.70|51,790,990.45
减：所得税费用|76|887,510.01|2,130,233.71
五、净利润（净亏损以“－”号填列）||24,725,727.69|49,660,756.74
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||24,725,727.69|49,660,756.74
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||25,579,662.60|49,939,878.10
2.少数股东损益（净亏损以“-”号填列）||-853,934.91|-279,121.36
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||24,725,727.69|49,660,756.74
（一）归属于母公司所有者的综合收益总额||25,579,662.60|49,939,878.10
（二）归属于少数股东的综合收益总额||-853,934.91|-279,121.36
八、每股收益：|||
page|125
（一）基本每股收益(元/股)||0.38|0.77
（二）稀释每股收益(元/股)||0.38|0.77
