page|126
项目|附注七|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||900,464,300.34|948,238,652.35
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
page|127
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||2,654,195.91|1,931,274.38
收到其他与经营活动有关的现金|78|57,440,584.72|114,856,681.10
经营活动现金流入小计||960,559,080.97|1,065,026,607.83
购买商品、接受劳务支付的现金||819,128,684.47|803,292,705.57
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||97,622,333.66|82,794,344.89
支付的各项税费||32,929,434.00|20,405,809.72
支付其他与经营活动有关的现金|78|71,484,499.94|146,393,016.51
经营活动现金流出小计||1,021,164,952.07|1,052,885,876.69
经营活动产生的现金流量净额||-60,605,871.10|12,140,731.14
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||102,136.98|384,940.91
处置固定资产、无形资产和其他长期资产收回的现金净额||44,605.60|449,072.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|78|130,000,000.00|145,000,000.00
投资活动现金流入小计||130,146,742.58|145,834,012.91
购建固定资产、无形资产和其他长期资产支付的现金||14,082,810.43|18,555,187.27
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|78|130,000,000.00|145,000,000.00
投资活动现金流出小计||144,082,810.43|163,555,187.27
page|128
投资活动产生的现金流量净额||-13,936,067.85|-17,721,174.36
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||418,893,117.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||88,100,000.00|77,500,000.00
收到其他与筹资活动有关的现金|78|5,000,000.00|
筹资活动现金流入小计||93,100,000.00|496,393,117.00
偿还债务支付的现金||81,722,006.00|206,611,003.00
分配股利、利润或偿付利息支付的现金||19,914,396.63|18,481,402.81
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|78|7,328,610.02|14,436,331.42
筹资活动现金流出小计||108,965,012.65|239,528,737.23
筹资活动产生的现金流量净额||-15,865,012.65|256,864,379.77
四、汇率变动对现金及现金等价物的影响||-3,200.55|-364.33
五、现金及现金等价物净增加额||-90,410,152.15|251,283,572.22
加：期初现金及现金等价物余额||489,524,670.45|238,241,098.23
六、期末现金及现金等价物余额||399,114,518.30|489,524,670.45
