page|118
项目|附注七|2021 年 12 月 31 日|2020 年 12 月 31日
流动资产：|||
货币资金|1|469,476,397.58|544,178,065.35
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据|4|11,440,326.60|469,020.50
应收账款|5|196,115,464.75|178,976,085.87
应收款项融资|6|18,980,495.32|7,607,418.51
预付款项|7|33,488,999.39|13,915,120.62
应收保费|||
应收分保账款|||
page|119
应收分保合同准备金|||
其他应收款|8|10,481,387.62|13,843,816.23
其中：应收利息|||262,083.33
应收股利|||
买入返售金融资产|||
存货|9|208,511,493.69|158,102,261.56
合同资产|10|278,998,581.77|286,077,572.36
持有待售资产|||
一年内到期的非流动资产|12|3,818,565.76|8,786,267.68
其他流动资产|13|4,854,826.97|2,970,193.69
流动资产合计||1,236,166,539.45|1,214,925,822.37
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|17|4,991,812.32|4,933,097.66
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产|21|340,118,831.59|334,666,713.94
在建工程|22|2,402,772.84|11,646,475.27
生产性生物资产|||
油气资产|||
使用权资产|25|5,332,551.91|
无形资产|26|61,106,355.07|63,806,459.81
开发支出|||
商誉|||
长期待摊费用|29|345,136.97|808,013.37
递延所得税资产|30|11,252,740.52|8,295,847.67
其他非流动资产|31|13,662,351.27|8,514,814.25
非流动资产合计||439,212,552.49|432,671,421.97
资产总计||1,675,379,091.94|1,647,597,244.34
流动负债：|||
短期借款|32|128,667,521.04|116,749,436.20
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|35|177,043,492.59|165,202,056.54
应付账款|36|117,970,922.95|120,211,995.21
预收款项|||
合同负债|38|130,513,318.59|137,448,189.98
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|39|14,788,473.06|12,003,041.10
page|120
应交税费|40|7,933,800.48|9,021,541.74
其他应付款|41|6,805,884.31|3,190,742.33
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|43|6,314,609.46|4,262,531.47
其他流动负债|44|34,795,454.11|34,855,014.54
流动负债合计||624,833,476.59|602,944,549.11
非流动负债：|||
保险合同准备金|||
长期借款|45|18,999,026.92|23,221,032.92
应付债券|||
其中：优先股|||
永续债|||
租赁负债|47|3,679,158.01|
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|51|36,735,045.41|41,144,119.65
递延所得税负债|30|7,416,144.78|6,091,311.27
其他非流动负债|||
非流动负债合计||66,829,375.12|70,456,463.84
负债合计||691,662,851.71|673,401,012.95
所有者权益（或股东权益）：|||
实收资本（或股本）|53|67,360,588.00|67,360,588.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|55|661,831,169.48|661,831,169.48
减：库存股|||
其他综合收益|||
专项储备|||
盈余公积|59|16,623,070.58|13,387,252.06
一般风险准备|||
未分配利润|60|198,248,279.41|191,066,218.04
归属于母公司所有者权益（或股东权益）合计||944,063,107.47|933,645,227.58
少数股东权益||39,653,132.76|40,551,003.81
所有者权益（或股东权益）合计||983,716,240.23|974,196,231.39
负债和所有者权益（或股东权益）总计||1,675,379,091.94|1,647,597,244.34
