page|61
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||50,792,378,644.39|30,912,956,615.69
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
page|62
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||91,214,874.36|45,137,187.57
收到其他与经营活动有关的现金||14,467,997,716.87|1,237,667,015.31
经营活动现金流入小计||65,351,591,235.62|32,195,760,818.57
购买商品、接受劳务支付的现金||37,427,555,569.14|16,357,406,987.77
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||2,248,733,620.07|2,317,757,717.59
支付的各项税费||2,742,450,628.72|2,172,348,860.64
支付其他与经营活动有关的现金||16,600,296,480.09|8,380,837,914.30
经营活动现金流出小计||59,019,036,298.02|29,228,351,480.30
经营活动产生的现金流量净额||6,332,554,937.60|2,967,409,338.27
二、投资活动产生的现金流量：|||
收回投资收到的现金||6,469,896,277.79|2,535,000,000.00
取得投资收益收到的现金||422,497,960.91|48,326,357.18
处置固定资产、无形资产和其他长期资产收回的现金净额||8,691,522.00|20,077,169.13
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||6,901,085,760.70|2,603,403,526.31
购建固定资产、无形资产和其他长期资产支付的现金||275,093,380.01|1,493,332,247.61
投资支付的现金||12,426,344,000.00|3,395,289,370.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||0|48,116,096.63
投资活动现金流出小计||12,701,437,380.01|4,936,737,714.24
投资活动产生的现金流量净额||-5,800,351,619.31|-2,333,334,187.93
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||23,000,000.00|2,000,000.00
其中：子公司吸收少数股东投资收到的现金||0|2,000,000.00
取得借款收到的现金||4,942,435,171.48|5,145,800,000.00
收到其他与筹资活动有关的现金||58,200,000.00|-
筹资活动现金流入小计||5,023,635,171.48|5,147,800,000.00
偿还债务支付的现金||6,315,192,215.33|6,548,978,801.80
分配股利、利润或偿付利息支付的现金||874,588,610.76|626,154,274.72
page|63
其中：子公司支付给少数股东的股利、利润||0|2,439,082.82
支付其他与筹资活动有关的现金||596,746.87|2,557,520.00
筹资活动现金流出小计||7,190,377,572.96|7,177,690,596.52
筹资活动产生的现金流量净额||-2,166,742,401.48|-2,029,890,596.52
四、汇率变动对现金及现金等价物的影响||-10,795,958.63|-17,517,383.62
五、现金及现金等价物净增加额||-1,645,335,041.82|-1,413,332,829.80
加：期初现金及现金等价物余额||5,512,196,635.05|6,925,529,464.85
六、期末现金及现金等价物余额||3,866,861,593.23|5,512,196,635.05
