page|57
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,936,042,831.64|2,032,715,013.81
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||1,927,876.88|11,521,385.97
收到其他与经营活动有关的现金|七（七十八）（1）|74,832,103.51|129,292,647.85
page|58
项目|附注|2021年度|2020年度
经营活动现金流入小计||2,012,802,812.03|2,173,529,047.63
购买商品、接受劳务支付的现金||1,401,686,981.63|1,472,948,116.98
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||226,717,105.77|194,903,266.56
支付的各项税费||43,092,198.94|51,341,528.19
支付其他与经营活动有关的现金|七（七十八）（2）|116,619,036.18|128,014,479.41
经营活动现金流出小计||1,788,115,322.52|1,847,207,391.14
经营活动产生的现金流量净额|七（七十九）（1）|224,687,489.51|326,321,656.49
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||111,099,715.05|40,985,297.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七（七十八）（3）||
投资活动现金流入小计||111,099,715.05|40,985,297.00
购建固定资产、无形资产和其他长期资产支付的现金||98,685,282.79|226,288,026.88
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七（七十八）（4）||
投资活动现金流出小计||98,685,282.79|226,288,026.88
投资活动产生的现金流量净额||12,414,432.26|-185,302,729.88
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||11,870,057.00
收到其他与筹资活动有关的现金|七（七十八）（5）||
筹资活动现金流入小计|||11,870,057.00
偿还债务支付的现金||156,792,894.00|35,191,320.00
分配股利、利润或偿付利息支付的现金||47,388,534.07|37,278,874.89
其中：子公司支付给少数股东的股利、利润|||8,724,787.62
支付其他与筹资活动有关的现金|七（七十八）（6）|31,507,311.83|1,683,058.68
筹资活动现金流出小计||235,688,739.90|74,153,253.57
page|59
项目|附注|2021年度|2020年度
筹资活动产生的现金流量净额||-235,688,739.90|-62,283,196.57
四、汇率变动对现金及现金等价物的影响||-913,909.76|-1,150,493.03
五、现金及现金等价物净增加额|七（七十九）（1）|499,272.11|77,585,237.01
加：期初现金及现金等价物余额|七（七十九）（4）|757,520,487.07|679,935,250.06
六、期末现金及现金等价物余额|七（七十九）（4）|758,019,759.18|757,520,487.07
