page|17
资产负债表项目|2021 年 12 月 31 日|2020 年 12 月 31 日|增减率（%）
货币资金||15,373,626,059.26   17,203,544,523.08|-10.64
结算备付金|4,239,132,214.73|3,429,659,479.81|23.60
融出资金||14,272,175,002.17   12,001,843,139.77|18.92
存出保证金|1,504,711,833.90|1,405,554,892.41|7.05
应收款项|289,299,825.76|118,444,884.10|144.25
买入返售金融资产|1,475,449,768.49|1,404,131,659.30|5.08
交易性金融资产||30,371,192,097.77   26,860,163,662.56|13.07
其他债权投资|8,974,792,747.89|9,107,073,011.84|-1.45
其他权益工具投资|888,450,912.82|3,424,774,498.21|-74.06
长期股权投资|2,438,035,301.51|2,241,094,880.32|8.79
固定资产|1,291,599,965.64|234,252,429.42|451.37
在建工程||767,019,295.87|-100.00
使用权资产|115,245,103.29||不适用
无形资产|174,849,023.28|165,408,654.14|5.71
商誉|11,022,697.75|119,636,099.49|-90.79
递延所得税资产|527,648,007.59|374,210,282.57|41.00
其他资产|224,049,001.79|261,284,049.30|-14.25
应付短期融资款|3,386,823,021.21|3,773,336,512.74|-10.24
拆入资金|2,407,134,499.87|2,007,622,222.23|19.90
交易性金融负债|622,547,367.97|594,122,571.81|4.78
卖出回购金融资产款||21,072,631,177.76   18,321,196,405.95|15.02
代理买卖证券款||14,382,125,029.05   12,455,051,319.74|15.47
应付职工薪酬|1,293,065,029.58|1,252,851,712.88|3.21
应交税费|116,561,367.28|67,051,168.80|73.84
应付款项|99,763,100.89|109,801,383.70|-9.14
应付债券||12,979,277,733.07   15,126,853,662.88|-14.20
租赁负债|114,074,885.90||不适用
递延所得税负债|145,071,649.39|213,997,175.09|-32.21
其他负债|350,928,955.75|183,283,545.41|91.47
实收资本（或股本）|6,645,109,124.00|6,645,109,124.00|0.00
资本公积||11,654,405,801.60   11,654,405,801.60|0.00
其他综合收益|59,808,045.65|203,085,565.91|-70.55
盈余公积|1,260,844,773.36|1,176,661,527.73|7.15
一般风险准备|2,444,709,558.32|2,276,343,067.06|7.40
未分配利润|3,292,901,852.60|3,187,755,048.11|3.30
利润表项目|2021 年度|2020 年度|增减率（%）
营业总收入|3,096,080,385.10|3,169,571,453.97|-2.32
利息净收入|331,360,278.85|330,983,229.17|0.11
手续费及佣金净收入|1,120,596,000.02|1,044,580,610.10|7.28
投资收益|1,983,703,258.82|1,690,362,722.60|17.35
