page|119
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||152,331,890.54|122,474,193.57
page|120
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||582,495.15|389,608.96
收到其他与经营活动有关的现金|七、78|29,992,292.19|22,616,851.18
经营活动现金流入小计||182,906,677.88|145,480,653.71
购买商品、接受劳务支付的现金||59,651,583.77|83,251,602.04
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||25,707,639.08|20,056,774.07
支付的各项税费||13,275,868.23|16,051,573.50
支付其他与经营活动有关的现金|七、78|33,578,578.92|23,927,576.63
经营活动现金流出小计||132,213,670.00|143,287,526.24
经营活动产生的现金流量净额||50,693,007.88|2,193,127.47
二、投资活动产生的现金流量：|||
收回投资收到的现金|||24,084,335.98
取得投资收益收到的现金||85,219.94|255,182.76
处置固定资产、无形资产和其他长期资产收回的现金净额||14,715.00|612,001.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、78|40,000,000.00|
投资活动现金流入小计||40,099,934.94|24,951,519.74
page|121
购建固定资产、无形资产和其他长期资产支付的现金||4,311,163.27|5,372,174.16
投资支付的现金|||18,000,783.90
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、78|150,000,000.00|
投资活动现金流出小计||154,311,163.27|23,372,958.06
投资活动产生的现金流量净额||-114,211,228.33|1,578,561.68
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||208,548,530.19|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||10,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||208,548,530.19|10,000,000.00
偿还债务支付的现金||10,000,000.00|
分配股利、利润或偿付利息支付的现金||227,821.66|13,190,377.78
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、78|22,584,186.08|3,273,000.00
筹资活动现金流出小计||32,812,007.74|16,463,377.78
筹资活动产生的现金流量净额||175,736,522.45|-6,463,377.78
四、汇率变动对现金及现金等价物的影响||-54,877.25|-202,440.94
五、现金及现金等价物净增加额||112,163,424.75|-2,894,129.57
加：期初现金及现金等价物余额||26,515,411.07|29,409,540.64
六、期末现金及现金等价物余额||138,678,835.82|26,515,411.07
