page|94
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
page|95
销售商品、提供劳务收到的现金||494,892,485.68|601,949,462.48
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||17,632,691.75|13,591,257.50
收到其他与经营活动有关的现金|七-78|12,403,732.48|13,982,770.00
经营活动现金流入小计||524,928,909.91|629,523,489.98
购买商品、接受劳务支付的现金||366,598,017.19|425,999,409.82
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||25,454,005.14|23,503,528.44
支付的各项税费||49,180,262.04|39,922,372.78
支付其他与经营活动有关的现金|七-78|19,430,605.84|30,721,589.45
经营活动现金流出小计||460,662,890.21|520,146,900.49
经营活动产生的现金流量净额||64,266,019.70|109,376,589.49
二、投资活动产生的现金流量：|||
收回投资收到的现金||362,000,000.00|340,000,000.00
取得投资收益收到的现金||1,920,595.33|2,285,540.32
处置固定资产、无形资产和其他长期资产收回的现金净额|||
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
page|96
投资活动现金流入小计||363,920,595.33|342,285,540.32
购建固定资产、无形资产和其他长期资产支付的现金||412,852,908.86|133,358,550.12
投资支付的现金||254,041,326.23|470,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七-78|185,603,100.00|206,384,400.00
投资活动现金流出小计||852,497,335.09|809,742,950.12
投资活动产生的现金流量净额||-488,576,739.76|-467,457,409.80
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||732,840.00|512,166,300.00
其中：子公司吸收少数股东投资收到的现金||732,840.00|-
取得借款收到的现金||330,514,659.00|279,858,215.50
收到其他与筹资活动有关的现金|七-78|38,896,327.63|-
筹资活动现金流入小计||370,143,826.63|792,024,515.50
偿还债务支付的现金||130,868,215.50|337,000,000.00
分配股利、利润或偿付利息支付的现金||30,353,068.56|10,054,645.10
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||11,068,546.87|64,491,543.37
筹资活动现金流出小计||172,289,830.93|411,546,188.47
筹资活动产生的现金流量净额||197,853,995.70|380,478,327.03
四、汇率变动对现金及现金等价物的影响||-136,436.36|-
五、现金及现金等价物净增加额||-226,593,160.72|22,397,506.72
加：期初现金及现金等价物余额||457,067,072.61|434,669,565.89
六、期末现金及现金等价物余额||230,473,911.89|457,067,072.61
