page|67
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||380,176,704.52|342,249,335.20
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||6,024.80
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||5,537,642.71|3,870,166.93
收到其他与经营活动有关的现金||33,834,549.42|21,155,675.45
经营活动现金流入小计||419,548,896.65|367,281,202.38
购买商品、接受劳务支付的现金||110,659,863.98|112,363,567.86
客户贷款及垫款净增加额|||-263,380.00
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||117,415,164.41|108,583,500.89
支付的各项税费||28,626,583.91|36,398,949.46
支付其他与经营活动有关的现金||58,784,743.43|43,019,848.84
经营活动现金流出小计||315,486,355.73|300,102,487.05
经营活动产生的现金流量净额||104,062,540.92|67,178,715.33
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,606,663.00|37,238,107.75
取得投资收益收到的现金||134,962.19|59,425.47
处置固定资产、无形资产和其他长期资产收回的现金净额||6,250,710.00|23,558,903.24
处置子公司及其他营业单位收到的现金净额||4,870,489.80|53,527,707.93
收到其他与投资活动有关的现金|||
投资活动现金流入小计||12,862,824.99|114,384,144.39
购建固定资产、无形资产和其他长期资产支付的现金||10,519,136.34|31,114,167.83
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||10,519,136.34|31,114,167.83
page|68
投资活动产生的现金流量净额||2,343,688.65|83,269,976.56
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||50,000,000.00|80,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||50,000,000.00|80,000,000.00
偿还债务支付的现金||80,000,000.00|258,000,000.00
分配股利、利润或偿付利息支付的现金||12,424,377.78|19,986,386.11
其中：子公司支付给少数股东的股利、利润|||3,328,000.00
支付其他与筹资活动有关的现金||19,262,237.47|16,046,953.50
筹资活动现金流出小计||111,686,615.25|294,033,339.61
筹资活动产生的现金流量净额||-61,686,615.25|-214,033,339.61
四、汇率变动对现金及现金等价物的影响||-201,068.89|-185,861.01
五、现金及现金等价物净增加额||44,518,545.43|-63,770,508.73
加：期初现金及现金等价物余额||118,012,055.66|181,782,564.39
六、期末现金及现金等价物余额||162,530,601.09|118,012,055.66
