page|72
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,231,373,478.93|1,214,174,343.89
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||13,351,511.31|10,194,248.31
收到其他与经营活动有关的现金||16,516,587.51|45,938,836.14
page|73
经营活动现金流入小计||1,261,241,577.75|1,270,307,428.34
购买商品、接受劳务支付的现金||672,358,105.10|603,058,844.74
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||225,015,437.72|250,450,131.86
支付的各项税费||67,212,603.90|53,140,294.85
支付其他与经营活动有关的现金||44,598,280.33|51,784,608.36
经营活动现金流出小计||1,009,184,427.05|958,433,879.81
经营活动产生的现金流量净额||252,057,150.70|311,873,548.53
二、投资活动产生的现金流量：|||
收回投资收到的现金||644,326,723.06|33,000,000.00
取得投资收益收到的现金||937,068.85|372,313.13
处置固定资产、无形资产和其他长期资产收回的现金净额||1,899,152.97|2,293,562.30
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||647,162,944.88|35,665,875.43
购建固定资产、无形资产和其他长期资产支付的现金||115,055,123.38|132,132,135.63
投资支付的现金||640,813,623.06|36,513,100.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||177,326.82|
支付其他与投资活动有关的现金|||
投资活动现金流出小计||756,046,073.26|168,645,235.63
page|74
投资活动产生的现金流量净额||-108,883,128.38|-132,979,360.20
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||198,260,623.07|120,518,450.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||198,260,623.07|120,518,450.00
偿还债务支付的现金||230,628,833.33|275,110,000.00
分配股利、利润或偿付利息支付的现金||28,154,642.35|8,500,807.65
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||1,165,094.34|2,542,548.00
筹资活动现金流出小计||259,948,570.02|286,153,355.65
筹资活动产生的现金流量净额||-61,687,946.95|-165,634,905.65
四、汇率变动对现金及现金等价物的影响||-2,590,129.07|1,085,501.13
五、现金及现金等价物净增加额||78,895,946.30|14,344,783.81
加：期初现金及现金等价物余额||85,565,608.89|71,220,825.08
六、期末现金及现金等价物余额||164,461,555.19|85,565,608.89
