page|78
项目|附注|2020 年度|2019 年度
一、营业总收入||7,092,708,995.09|6,805,309,495.43
其中：营业收入|（六十一）|7,092,708,995.09|6,805,309,495.43
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||6,279,014,922.81|6,070,955,781.39
其中：营业成本|（六十一）|5,054,565,684.65|4,835,331,178.36
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十二）|48,056,203.39|42,026,892.31
销售费用|（六十三）|462,719,543.79|503,538,369.40
管理费用|（六十四）|306,352,843.22|342,763,604.97
研发费用|（六十五）|312,779,543.52|325,045,336.52
财务费用|（六十六）|94,541,104.24|22,250,399.83
其中：利息费用||28,447,597.10|31,704,491.48
利息收入||22,672,757.06|18,791,511.35
加：其他收益|（六十七）|70,696,947.24|64,211,858.03
投资收益（损失以“－”号填列）|（六十八）|337,617,602.36|569,989,633.31
其中：对联营企业和合营企业的投资收益||118,764,403.91|255,747,532.15
以摊余成本计量的|||
page|79
金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|（七十）|65,382,780.11|-102,608,319.49
信用减值损失（损失以“-”号填列）|（七十一）|-78,802,498.84|-50,125,078.82
资产减值损失（损失以“-”号填列）|（七十二）|-15,861,420.61|-13,441,681.56
资产处置收益（损失以“－”号填列）|（七十三）|-199,649.27|3,738,571.27
三、营业利润（亏损以“－”号填列）||1,192,527,833.27|1,206,118,696.78
加：营业外收入|（七十四）|13,491,317.41|15,709,117.30
减：营业外支出|（七十五）|17,486,415.40|21,887,728.52
四、利润总额（亏损总额以“－”号填列）||1,188,532,735.28|1,199,940,085.56
减：所得税费用|（七十六）|227,653,604.00|184,791,825.44
五、净利润（净亏损以“－”号填列）||960,879,131.28|1,015,148,260.12
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||960,879,131.28|1,015,148,260.12
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||956,119,901.66|1,004,378,705.80
2.少数股东损益（净亏损以“-”号填列）||4,759,229.62|10,769,554.32
六、其他综合收益的税后净额||-25,709,446.33|11,629,852.17
（一）归属母公司所有者的其他综合收益的税后净额||-23,928,352.99|10,733,535.44
1．不能重分类进损益的其他综合收益||0.00|0.00
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允|||
page|80
价值变动|||
2．将重分类进损益的其他综合收益||-23,928,352.99|10,733,535.44
（1）权益法下可转损益的其他综合收益||-13,437,021.75|16,937,089.04
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-10,491,331.24|-6,203,553.60
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-1,781,093.34|896,316.73
七、综合收益总额||935,169,684.95|1,026,778,112.29
（一）归属于母公司所有者的综合收益总额||932,191,548.67|1,015,112,241.24
（二）归属于少数股东的综合收益总额||2,978,136.28|11,665,871.05
八、每股收益：|||
（一）基本每股收益(元/股)||0.69|0.72
（二）稀释每股收益(元/股)||0.69|0.72
