page|68
项目|附 注|2021 年度|2020 年度
一、营业总收入||11,200,362,248.89|10,161,133,761.67
其中：营业收入||11,200,362,248.89|10,161,133,761.67
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||10,143,256,389.60|9,331,033,798.96
其中：营业成本||8,540,995,401.36|7,921,780,043.93
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||40,949,967.62|35,798,127.98
销售费用||499,218,546.29|399,714,436.52
管理费用||241,188,765.92|222,666,568.46
研发费用||962,072,219.13|734,980,839.46
财务费用||-141,168,510.72|16,093,782.61
其中：利息费用||25,447,007.26|54,790,843.82
利息收入||174,719,696.96|50,285,163.32
加：其他收益||397,314,728.15|305,678,547.17
投资收益（损失以“－”号填列）||166,060,233.92|-39,524,207.29
其中：对联营企业和合营企业的投资收益||161,923,234.34|-48,732,067.75
以摊余成本计量的金融资产终止确认收益|||-1,010,282.63
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
page|69
公允价值变动收益（损失以“－”号填列）||49,716.67|
信用减值损失（损失以“-”号填列）||-35,160,621.93|-9,164,569.27
资产减值损失（损失以“-”号填列）||-165,637,513.42|-49,399,752.52
资产处置收益（损失以“－”号填列）||88,536.95|2,836,976.51
三、营业利润（亏损以“－”号填列）||1,419,820,939.63|1,040,526,957.31
加：营业外收入||20,090,038.44|17,260,703.01
减：营业外支出||4,588,865.55|5,260,297.01
四、利润总额（亏损总额以“－”号填列）||1,435,322,112.52|1,052,527,363.31
减：所得税费用||171,285,655.93|165,057,337.05
五、净利润（净亏损以“－”号填列）||1,264,036,456.59|887,470,026.26
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,264,036,456.59|887,470,026.26
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,157,781,112.14|822,381,760.28
2.少数股东损益（净亏损以“-”号填列）||106,255,344.45|65,088,265.98
六、其他综合收益的税后净额||-1,462,599.68|-15,050,394.71
（一）归属母公司所有者的其他综合收益的税后净额||-1,462,599.68|-15,049,995.21
1．不能重分类进损益的其他综合收益||1,308,260.50|-137,385.50
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||1,308,260.50|-137,385.50
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-2,770,860.18|-14,912,609.71
（1）权益法下可转损益的其他综合收益||-763,198.74|-256,268.65
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-2,007,661.44|-14,656,341.06
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||-399.50
七、综合收益总额||1,262,573,856.91|872,419,631.55
（一）归属于母公司所有者的综合收益总额||1,156,318,512.46|807,331,765.07
（二）归属于少数股东的综合收益总额||106,255,344.45|65,087,866.48
八、每股收益：|||
page|70
（一）基本每股收益(元/股)||0.80|0.62
（二）稀释每股收益(元/股)||0.80|0.62
