page|69
项目|附 注|2021 年度|2020 年度
一、营业总收入||21,679,392,578.50|16,601,479,335.14
其中：营业收入||21,679,392,578.50|16,601,479,335.14
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||18,155,493,294.49|13,631,982,501.17
其中：营业成本||17,345,023,107.04|12,831,278,860.75
利息支出|||
page|70
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||172,095,658.44|155,853,435.94
销售费用||49,981,362.17|121,562,845.62
管理费用||668,151,221.62|608,362,854.74
研发费用||92,467,373.97|62,860,982.30
财务费用||-172,225,428.75|-147,936,478.18
其中：利息费用||39,216,330.67|27,549,634.92
利息收入||299,793,128.81|246,354,366.25
加：其他收益||167,765,878.87|152,231,452.93
投资收益（损失以“－”号填列）||228,344.49|8,113,942.01
其中：对联营企业和合营企业的投资收益||224,659.24|4,477,361.15
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||3,121,931.51|354,000.00
信用减值损失（损失以“-”号填列）||-18,407,123.45|1,775,977.52
资产减值损失（损失以“-”号填列）||-4,573,026.21|-33,263,773.02
资产处置收益（损失以“－”号填列）||1,288,962.20|978,224.11
三、营业利润（亏损以“－”号填列）||3,673,324,251.42|3,099,686,657.52
加：营业外收入||22,499,711.40|18,025,472.33
减：营业外支出||57,802,127.17|44,906,830.18
四、利润总额（亏损总额以“－”号填列）||3,638,021,835.65|3,072,805,299.67
减：所得税费用||878,520,834.98|914,609,902.73
五、净利润（净亏损以“－”号填列）||2,759,501,000.67|2,158,195,396.94
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||2,759,501,000.67|2,158,195,396.94
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||2,731,970,872.06|2,140,285,334.65
2.少数股东损益（净亏损以“-”号填列）||27,530,128.61|17,910,062.29
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
page|71
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||2,759,501,000.67|2,158,195,396.94
（一）归属于母公司所有者的综合收益总额||2,731,970,872.06|2,140,285,334.65
（二）归属于少数股东的综合收益总额||27,530,128.61|17,910,062.29
八、每股收益：|||
（一）基本每股收益(元/股)||1.27|0.99
（二）稀释每股收益(元/股)||1.27|0.99
