page|72
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||16,560,224,384.73|14,878,528,224.30
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||22,351,207.80|21,542,005.11
收到其他与经营活动有关的现金||1,074,957,011.05|857,619,599.14
经营活动现金流入小计||17,657,532,603.58|15,757,689,828.55
购买商品、接受劳务支付的现金||11,298,884,496.38|8,377,135,494.03
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,480,565,181.41|1,178,770,156.47
支付的各项税费||1,831,893,890.72|1,723,455,793.16
支付其他与经营活动有关的现金||892,600,464.68|738,445,178.99
page|73
经营活动现金流出小计||15,503,944,033.19|12,017,806,622.65
经营活动产生的现金流量净额||2,153,588,570.39|3,739,883,205.90
二、投资活动产生的现金流量：|||
收回投资收到的现金||24,519.40|11,615,273.97
取得投资收益收到的现金||3,715,398.34|6,835,343.86
处置固定资产、无形资产和其他长期资产收回的现金净额||1,298,240.00|125,091.58
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||5,038,157.74|18,575,709.41
购建固定资产、无形资产和其他长期资产支付的现金||105,928,651.87|147,928,028.46
投资支付的现金||390,020,610.00|-
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||495,949,261.87|147,928,028.46
投资活动产生的现金流量净额||-490,911,104.13|-129,352,319.05
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||-|9,204,112.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||3,885,746,666.65|256,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||3,885,746,666.65|265,204,112.00
偿还债务支付的现金||1,095,000,000.00|1,885,560,000.00
分配股利、利润或偿付利息支付的现金||2,445,814,530.27|122,892,300.83
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||151,898,154.88|4,449,371.67
筹资活动现金流出小计||3,692,712,685.15|2,012,901,672.50
筹资活动产生的现金流量净额||193,033,981.50|-1,747,697,560.50
四、汇率变动对现金及现金等价物的影响||-1,836,002.03|-1,768,238.02
五、现金及现金等价物净增加额||1,853,875,445.73|1,861,065,088.33
加：期初现金及现金等价物余额||6,037,314,761.16|4,176,249,672.83
六、期末现金及现金等价物余额||7,891,190,206.89|6,037,314,761.16
