page|73
项目|附注|2021 年度|2020 年度
一、营业总收入||5,127,323,244.04|4,015,161,191.73
其中：营业收入||5,127,323,244.04|4,015,161,191.73
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||4,895,423,287.88|3,798,629,790.46
其中：营业成本||4,700,615,286.73|3,621,459,511.72
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||10,542,545.70|7,626,237.30
销售费用||27,418,828.31|24,856,419.28
管理费用||97,117,890.90|91,682,307.12
研发费用||1,616,131.19|
财务费用||58,112,605.05|53,005,315.04
其中：利息费用||65,130,822.86|57,495,654.48
利息收入||11,659,000.07|8,883,463.05
加：其他收益||855,524.59|284,599.80
投资收益（损失以“－”号填列）|||
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||18,276,489.20|24,161,883.05
信用减值损失（损失以“-”号填列）||-46,311,012.87|-60,875,169.82
资产减值损失（损失以“-”号填列）||-1,458,028.65|-1,705,848.48
资产处置收益（损失以“－”号填列）||-344,497.11|-313,528.32
三、营业利润（亏损以“－”号填列）||202,918,431.32|178,083,337.50
加：营业外收入||4,851,412.74|6,646,885.82
减：营业外支出||2,384,145.70|2,921,999.03
四、利润总额（亏损总额以“－”号填列）||205,385,698.36|181,808,224.29
page|74
减：所得税费用||54,940,392.42|49,159,715.20
五、净利润（净亏损以“－”号填列）||150,445,305.94|132,648,509.09
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||150,445,305.94|132,648,509.09
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||148,600,058.18|127,512,475.14
2.少数股东损益（净亏损以“-”号填列）||1,845,247.76|5,136,033.95
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||150,445,305.94|132,648,509.09
（一）归属于母公司所有者的综合收益总额||148,600,058.18|127,512,475.14
（二）归属于少数股东的综合收益总额||1,845,247.76|5,136,033.95
八、每股收益：|||
（一）基本每股收益(元/股)||0.27|0.26
（二）稀释每股收益(元/股)||0.27|0.26
