page|81
项目|附注七|2019 年度|2018 年度
一、营业总收入||2,391,323,310.58|2,095,460,894.88
其中：营业收入|（六十一）|2,391,323,310.58|2,095,460,894.88
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||2,412,042,944.90|2,131,489,911.56
其中：营业成本|（六十一）|1,407,775,800.71|1,233,448,276.10
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
page|82
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十二）|10,634,917.19|15,575,968.04
销售费用|（六十三）|596,547,475.73|547,951,457.09
管理费用|（六十四）|376,736,000.18|315,821,262.47
研发费用|（六十五）|20,223,041.03|23,567,782.05
财务费用|（六十六）|125,710.06|-4,874,834.19
其中：利息费用||1,288,011.69|62,300.95
利息收入||9,889,850.38|12,843,016.00
加：其他收益|（六十七）|23,854,688.87|13,390,608.44
投资收益（损失以“－”号填列）|（六十八）|43,591,704.81|-32,390,825.55
其中：对联营企业和合营企业的投资收益||-16,607,179.46|-71,184,144.81
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|（七十）|791,111.10|
信用减值损失（损失以“-”号填列）|（七十一）|-7,342,011.85|
资产减值损失（损失以“-”号填列）|（七十二）|410,169.80|-115,394,863.77
资产处置收益（损失以“－”号填列）|（七十三）|410,941.51|569,286.32
三、营业利润（亏损以“－”号填列）||40,996,969.92|-169,854,811.24
加：营业外收入|（七十四）|4,668,600.69|6,922,765.65
减：营业外支出|（七十五）|4,369,539.39|118,332,969.18
四、利润总额（亏损总额以“－”号填列）||41,296,031.22|-281,265,014.77
减：所得税费用|（七十六）|33,182,503.49|40,819,816.79
五、净利润（净亏损以“－”号填列）||8,113,527.73|-322,084,831.56
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||8,113,527.73|-322,084,831.56
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
page|83
1.归属于母公司股东的净利润（净亏损以“-”号填列）||54,154,723.85|-266,767,558.21
2.少数股东损益（净亏损以“-”号填列）||-46,041,196.12|-55,317,273.35
六、其他综合收益的税后净额||-50,824,479.06|-22,514,400.80
（一）归属母公司所有者的其他综合收益的税后净额||-50,824,479.06|-22,514,400.80
1．不能重分类进损益的其他综合收益||-29,151,403.03|
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-29,151,403.03|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-21,673,076.03|-22,514,400.80
（1）权益法下可转损益的其他综合收益||-21,673,076.03|-22,514,400.80
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||-42,710,951.33|-344,599,232.36
（一）归属于母公司所有者的综合收益总额||3,330,244.79|-289,281,959.01
（二）归属于少数股东的综合收益总额||-46,041,196.12|-55,317,273.35
八、每股收益：|||
（一）基本每股收益(元/股)||0.19|-0.93
（二）稀释每股收益(元/股)||0.19|-0.93
