page|125
||合并||公司|
|附注七|2019 年度|2018 年度|2019 年度|2018 年度
一、经营活动产生的现金流量|||||
吸收存款及同业存放款项净增加额|||||
||31,993,686|42,931,878|32,112,473|42,985,021
向中央银行借款净增加额|||||
||28,975,663|443,337|28,985,663|414,337
存放中央银行和同业款项净减少额|||||
||4,904,447|7,839,858|4,759,897|7,865,626
拆入资金净增加额|||||
||140,099|506,015|140,099|506,015
拆出资金净减少额|||||
||-|609,039|-|609,039
卖出回购金融资产净增加额|||||
||4,761,735|-|4,761,735|-
收取利息、手续费及佣金的现金|||||
||13,265,305|14,036,872|13,217,278|13,992,173
收到其他与经营活动有关的现金|||||
||239,329|443,252|236,479|442,321
经营活动现金流入小计|||||
||84,280,264|66,810,251|84,213,624|66,814,532
发放贷款和垫款净增加额|||||
||45,819,825|38,160,399|45,779,026|38,103,859
拆出资金净增加额|||||
||3,535,974|-|3,535,974|-
卖出回购业务净减少额|||||
||-|30,704,429|-|30,704,429
支付利息、手续费及佣金的现金|||||
||5,937,231|5,788,343|5,928,569|5,779,673
支付给职工以及为职工支付的现金|||||
||1,865,212|1,781,350|1,853,518|1,771,000
支付的各项税费|||||
||1,984,088|1,205,248|1,976,476|1,198,280
支付其他与经营活动有关的现金|||||
||1,262,301|1,070,563|1,254,680|1,066,774
经营活动现金流出小计|||||
||60,404,631|78,710,332|60,328,243|78,624,015
经营活动产生的现金流量净额|||||
|45|23,875,633|(11,900,081 )|23,885,381|(11,809,483 )
合并及公司现金流量表|||||
page|126
||（单位：人民币千元）||||
||合并|||公司|
|附注七|2019 年度|2018 年度||2019 年度|2018 年度
二、投资活动产生的现金流量||||||
收回投资收到的现金||||||
||113,066,308|176,900,056||113,066,308|176,900,056
取得投资收益收到的现金||||||
||8,154,031|4,109,232||8,157,741|4,109,232
处置固定资产收到的现金||||||
||483|783||483|783
投资活动现金流入小计||||||
||121,220,822|181,010,071||121,224,532|181,010,071
投资支付的现金||||||
||144,069,146|228,045,976||144,069,146|228,045,976
购建固定资产、无形资产和||||||
其他长期资产支付的现金||||||
||215,749|135,250||215,674|135,070
投资活动现金流出小计||||||
||144,284,895|228,181,226||144,284,820|228,181,046
投资活动产生的现金流量净额||||||
||(23,064,073 )|( 47,171,155 )|(|23,060,288 )|(47,170,975 )
三、筹资活动产生的现金流量||||||
吸收投资收到的现金||||||
||-|2,440,284||-|2,440,284
发行债券收到的现金||||||
||197,703,093|202,808,203||197,703,093|202,808,203
筹资活动现金流入小计||||||
||197,703,093|205,248,487||197,703,093|205,248,487
分配股利、利润或偿付利息||||||
支付的现金||||||
||1,524,222|1,270,486||1,522,442|1,269,886
偿还债券支付的现金||||||
||206,640,000|168,220,000||206,640,000|168,220,000
筹资活动现金流出小计||||||
||208,164,222|169,490,486||208,162,442|169,489,886
筹资活动产生的现金流量净额||||||
||(10,461,129 )|35,758,001|(|10,459,349 )|35,758,601
四、汇率变动对现金及现金等价||||||
物的影响||||||
||13,398|32,506||13,398|32,506
五、现金及现金等价物净变动额||||||
||(9,636,171 )|( 23,280,729 )|(|9,620,858)|(23,189,351 )
加：年初现金及现金等价物||||||
余额||||||
||36,853,381|60,134,110||36,777,175|59,966,526
六、年末现金及现金等价物余额||||||
|45|27,217,210|36,853,381||27,156,317|36,777,175
