page|109
项目|附注(五)|本年金额|上年金额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||71,786,252,657.57|29,243,394,765.11
收到的其他与经营活动有关的现金|60(1)|4,753,257,983.02|1,136,280,555.91
经营活动现金流入小计||76,539,510,640.59|30,379,675,321.02
购买商品、接受劳务支付的现金||66,328,481,964.48|13,838,634,782.28
支付给职工以及为职工支付的现金||2,307,952,972.59|2,058,337,557.31
支付的各项税费||4,168,334,672.22|3,876,805,514.67
支付的其他与经营活动有关的现金|60(2)|2,029,913,147.43|1,171,363,876.61
经营活动现金流出小计||74,834,682,756.72|20,945,141,730.87
经营活动产生的现金流量净额||1,704,827,883.87|9,434,533,590.15
二、投资活动产生的现金流量：|||
收回投资所收到的现金|60(3)|4,784,176,788.82|6,076,815,575.34
取得投资收益所收到的现金||1,632,774,545.59|207,156,988.46
处置固定资产，无形资产和其他长期资产而收到的现金净额||24,417,189.84|43,630,402.62
收到其他与投资活动有关的现金|60(4)|3,009,624,827.50|-
投资活动现金流入小计||9,450,993,351.75|6,327,602,966.42
购买或处置子公司和其他经营单位支付的现金|60(5)|2,069,009,623.30|-
购建固定资产、无形资产和其他长期资产所支付的现金||2,718,622,240.73|2,807,367,389.57
投资支付的现金|60(6)|5,095,283,003.45|4,852,213,461.04
支付其他与投资活动有关的现金|60(7)|2,247,181,202.53|1,065,210,116.95
投资活动现金流出小计||12,130,096,070.01|8,724,790,967.56
投资活动产生的现金流量净额||(2,679,102,718.26)|(2,397,188,001.14)
三、筹资活动产生的现金流量：|||
取得借款收到的现金||32,091,740,322.20|8,571,932,316.83
收到的其他与筹资活动有关的现金|60(8)|2,903,278,100.00|3,013,968,920.00
筹资活动现金流入小计||34,995,018,422.20|11,585,901,236.83
偿还债务所支付的现金||31,372,194,483.49|9,999,663,814.94
分配股利、利润和偿付利息所支付的现金||4,203,154,203.48|2,646,126,449.90
其中：子公司支付给少数股东的股利||-|-
支付其他与筹资活动有关的现金|60(9)|9,667,041,045.09|2,786,560,371.98
筹资活动现金流出小计||45,242,389,732.06|15,432,350,636.82
筹资活动产生的现金流量净额||(10,247,371,309.86)|(3,846,449,399.99)
四、汇率变动对现金及现金等价物的影响额||373,190,382.07|268,388,806.15
五、现金及现金等价物净增加(减少)额||(10,848,455,762.18)|3,459,284,995.17
加：年初现金及现金等价物余额|61(2)|23,240,703,274.03|19,781,418,278.86
六、年末现金及现金等价物余额|61(2)|12,392,247,511.85|23,240,703,274.03
