page|75
项目|附注七|2019 年度|2018 年度
一、营业总收入||170,898,790.08|1,566,152,354.77
其中：营业收入|（五十九）|170,898,790.08|1,566,152,354.77
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||193,803,764.35|1,555,973,787.90
其中：营业成本|（五十九）|158,191,486.17|1,505,057,759.06
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十）|155,570.62|3,322,306.21
销售费用|（六十一）|7,296,380.18|14,010,603.78
管理费用|（六十二）|23,186,030.87|21,090,631.50
研发费用|（六十三）|5,200,880.78|10,596,948.96
财务费用|（六十四）|-226,584.27|1,895,538.39
其中：利息费用|||
利息收入||35,028.70|201,714.46
加：其他收益|（六十五）|2,300,000.00|
投资收益（损失以“－”号填列）|（六十六）|34,757,850.12|
page|76
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|（六十九）|-14,344,299.70|
资产减值损失（损失以“-”号填列）|（七十）|- 11,348,682.02|-75,995,951.61
资产处置收益（损失以“－”号填列）|||
三、营业利润（亏损以“－”号填列）||-11,540,105.87|-65,817,384.74
加：营业外收入|（七十二）|100,000.00|2,509,960.01
减：营业外支出|（七十三）|94,691.95|1,260,898.54
四、利润总额（亏损总额以“－”号填列）||-11,534,797.82|-64,568,323.27
减：所得税费用|（七十四）|-4,807,525.53|-12,121,295.41
五、净利润（净亏损以“－”号填列）||-6,727,272.29|-52,447,027.86
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-6,727,272.29|-52,447,027.86
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-6,727,272.29|-52,447,027.86
2.少数股东损益（净亏损以“-”号填列）|||
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综|||
page|77
合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||-6,727,272.29|-52,447,027.86
（一）归属于母公司所有者的综合收益总额||-6,727,272.29|-52,447,027.86
（二）归属于少数股东的综合收益总额|||
八、每股收益：|||
（一）基本每股收益(元/股)||-0.0292|-0.2280
（二）稀释每股收益(元/股)||-0.0292|-0.2280
