page|71
项目|附注七|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|（一）|3,287,155.35|38,878,700.53
结算备付金|||
拆出资金|||
交易性金融资产|||
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|||
应收票据|||
应收账款|（五）|66,224,773.97|87,189,658.19
应收款项融资|||
预付款项|（七）|625,729.14|325,219,675.92
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|（八）|3,050,628.94|10,732,831.03
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|（九）|3,413,953.22|22,173,300.28
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|（十二）|15,933,219.46|20,439,494.43
流动资产合计||92,535,460.08|504,633,660.38
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||
其他债权投资|||
持有至到期投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产|（二十）|385,522.47|1,142,627.74
在建工程|||
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|（二十五）|115,091.48|24,489.71
开发支出|||
page|72
商誉|||
长期待摊费用|||
递延所得税资产|（二十九）|25,510,664.48|20,248,567.63
其他非流动资产|||
非流动资产合计||26,011,278.43|21,415,685.08
资产总计||118,546,738.51|526,049,345.46
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据|||
应付账款|（三十五）|1,859,664.29|9,443,415.16
预收款项|（三十六）|13,438.00|320,629,865.24
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|（三十七）|1,026,355.09|3,380,767.92
应交税费|（三十八）|76,074.95|7,867,574.33
其他应付款|（三十九）|115,937,226.49|172,452,852.40
其中：应付利息|||
应付股利||2,660,337.40|2,660,337.40
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|||30,494.59
流动负债合计||118,912,758.82|513,804,969.64
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|（四十八）|369,265.16|369,265.16
递延收益|||
递延所得税负债|||
其他非流动负债|||
非流动负债合计||369,265.16|369,265.16
负债合计||119,282,023.98|514,174,234.80
所有者权益（或股东权益）：|||
page|73
实收资本（或股本）|（五十一）|230,000,000.00|230,000,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|（五十三）|95,736,494.43|95,736,494.43
减：库存股|||
其他综合收益|||
专项储备|||5,883,123.84
盈余公积|||
一般风险准备|||
未分配利润|（五十八）|-326,471,779.90|-319,744,507.61
归属于母公司所有者权益（或股东权益）合计||-735,285.47|11,875,110.66
少数股东权益|||
所有者权益（或股东权益）合计||-735,285.47|11,875,110.66
负债和所有者权益（或股东权益）总计||118,546,738.51|526,049,345.46
