page|79
项目|附注七|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||193,153,047.01|1,994,209,789.42
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||5,101,682.89|
收到其他与经营活动有关的现金|（七十六）|3,255,643.64|3,120,594.56
经营活动现金流入小计||201,510,373.54|1,997,330,383.98
购买商品、接受劳务支付的现金||180,683,099.91|2,079,104,454.74
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||20,390,120.11|29,222,681.45
支付的各项税费||11,256,364.70|31,844,114.38
支付其他与经营活动有关的现金|（七十六）|11,831,874.61|17,307,828.58
经营活动现金流出小计||224,161,459.33|2,157,479,079.15
经营活动产生的现金流量净额||-22,651,085.79|-160,148,695.17
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
page|80
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额|||
处置子公司及其他营业单位收到的现金净额||49,806,442.18|
收到其他与投资活动有关的现金|||
投资活动现金流入小计||49,806,442.18|
购建固定资产、无形资产和其他长期资产支付的现金||103,121.57|803,464.00
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||103,121.57|803,464.00
投资活动产生的现金流量净额||49,703,320.61|-803,464.00
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|（七十六）|345,956,220.00|801,160,335.00
筹资活动现金流入小计||345,956,220.00|801,160,335.00
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金|||
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（七十六）|408,600,000.00|642,900,920.00
筹资活动现金流出小计||408,600,000.00|642,900,920.00
筹资活动产生的现金流量净额||-62,643,780.00|158,259,415.00
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-35,591,545.18|-2,692,744.17
加：期初现金及现金等价物余额||38,878,700.53|41,571,444.70
六、期末现金及现金等价物余额|（七十七）|3,287,155.35|38,878,700.53
