page|89
项目|附注七|2019 年度|2018 年度
一、经营活动产生的现金流量：|58||
客户存款和同业存放款项净增加额||9,601,974|9,111,906
向中央银行借款净增加额||1,450,000|1,180,000
向其他金融机构拆入资金净增加额|||-5,782,924
收取利息、手续费及佣金的现金||6,745,500|5,946,484
拆入资金净增加额||60,778|
回购业务资金净增加额||708,965|
收到其他与经营活动有关的现金||13,808|104,584
经营活动现金流入小计||18,581,025|10,560,050
客户贷款及垫款净增加额||9,724,660|9,634,966
存放中央银行和同业款项净增加额||-3,647,580|1,462,539
为交易目的而持有的金融资产净增加额||3,774,599|
拆出资金净增加额||-670,952|
返售业务资金净增加额||-|
支付利息、手续费及佣金的现金||3,872,683|2,078,082
支付给职工及为职工支付的现金||515,056|466,658
支付的各项税费||552,844|477,800
支付其他与经营活动有关的现金||454,260|396,920
经营活动现金流出小计||14,575,570|14,516,965
经营活动产生的现金流量净额||4,005,455|-3,956,915
二、投资活动产生的现金流量：|||
收回投资收到的现金||32,070,657|42,273,027
取得投资收益收到的现金||302,172|10,234
处置固定资产、无形资产和其他长期资产收回的现金净额||112|-
处置子公司及其他营业单位收到的现金净额||-|-
收到其他与投资活动有关的现金||-|940
投资活动现金流入小计||32,372,941|42,284,201
投资支付的现金||36,934,501|45,646,916
购建固定资产、无形资产和其他长期资产支付的现金||149,931|156,336
取得子公司及其他营业单位支付的现金净额||-|-
支付其他与投资活动有关的现金||-|-
投资活动现金流出小计||37,084,432|45,803,252
投资活动产生的现金流量净额||-4,711,491|-3,519,051
page|90
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||-|-
其中：子公司吸收少数股东投资收到的现金||-|-
取得借款收到的现金||-|-
发行债券收到的现金||20,944,174|21,275,295
收到其他与筹资活动有关的现金||-|-
筹资活动现金流入小计||20,944,174|21,275,295
偿还债务支付的现金||25,950,000|11,460,000
分配股利、利润或偿付利息支付的现金||534,133|471,621
其中：子公司支付给少数股东的股利、利润||-|-
支付其他与筹资活动有关的现金||-|-
筹资活动现金流出小计||26,484,133|11,931,621
筹资活动产生的现金流量净额||-5,539,959|9,343,674
四、汇率变动对现金及现金等价物的影响||1,278|3,232
五、现金及现金等价物净增加额|58|-6,244,717|1,870,940
加：期初现金及现金等价物余额||9,739,715|7,868,775
六、期末现金及现金等价物余额|58|3,494,998|9,739,715
