page|85
项目|附注七|2019 年度|2018 年度
一、营业总收入||3,539,711|3,192,181
利息净收入|41|2,944,580|2,989,011
利息收入||6,592,913|6,079,409
利息支出||3,648,333|3,090,398
手续费及佣金净收入|42|112,263|85,828
手续费及佣金收入||159,007|120,562
手续费及佣金支出||46,744|34,734
投资收益（损失以“－”号填列）|43|446,767|51,468
其中：对联营企业和合营企业的投资收益||104,952|41,895
以摊余成本计量的金融资产终止确认产生的收益（损失以“-”号填列）||18,608|
其他收益|44|3,870|550
公允价值变动收益（损失以“－”号填列）|45|23,282|54,054
汇兑收益（损失以“－”号填列）||4,347|6,423
其他业务收入|46|4,602|4,822
资产处置收益（损失以“－”号填列）||-|25
二、营业总支出||2,077,819|1,877,291
税金及附加|47|28,212|26,940
业务及管理费|48|1,048,363|929,904
资产减值损失|49||918,875
信用减值损失|50|999,672|
其他资产减值损失||-|
其他业务成本|51|1,572|1,572
三、营业利润（亏损以“－”号填列）||1,461,892|1,314,890
加：营业外收入|52|3,088|2,894
减：营业外支出|53|12,159|20,264
四、利润总额（亏损总额以“－”号填列）||1,452,821|1,297,520
减：所得税费用|54|200,869|221,767
五、净利润（净亏损以“－”号填列）||1,251,952|1,075,753
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,251,952|1,075,753
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,249,624|1,095,517
2.少数股东损益（净亏损以“-”号填列）||2,328|-19,764
page|86
六、其他综合收益的税后净额|37|60,573|164,248
归属母公司所有者的其他综合收益的税后净额||60,573|164,248
（一）不能重分类进损益的其他综合收益||-|-
1.重新计量设定受益计划变动额||-|-
2.权益法下不能转损益的其他综合收益||-|-
3.其他权益工具投资公允价值变动||-|
（二）将重分类进损益的其他综合收益||60,573|164,248
1.权益法下可转损益的其他综合收益||30,306|-407
2.其他债权投资公允价值变动||46,542|
3.可供出售金融资产公允价值变动损益|||164,655
4.金融资产重分类计入其他综合收益的金额||-|-
5.持有至到期投资重分类为可供出售金融资产损益|||-
6.其他债权投资信用损失准备||-16,275|
归属于少数股东的其他综合收益的税后净额||-|-
七、综合收益总额||1,312,525|1,240,001
归属于母公司所有者的综合收益总额||1,310,197|1,259,765
归属于少数股东的综合收益总额||2,328|-19,764
八、每股收益：|||
（一）基本每股收益(元/股)||0.68|0.59
（二）稀释每股收益(元/股)||0.59|0.52
