page|137
||附注五|2020年度|2019年度
一|、经营活动产生的现金流量|||
|存放中央银行和同业款项净减少额||-|2,823,415
|向中央银行借款净增加额||6,439,391|11,931,000
|吸收存款和同业及其他金融机构|||
|存放款项净增加额||36,389,031|22,522,550
|拆入资金净增加额||1,106,315|4,386,390
|卖出回购金融资产款净增加额||1,942,813|-
|收取利息、手续费及佣金的现金||17,316,461|16,065,639
|收到其他与经营活动有关的现金|42|278,632|2,338,752
|经营活动现金流入小计||63,472,643|60,067,746
|存放中央银行和同业款项净增加额||(22,720)|-
|买入返售金融资产净增加额||(49,252)|-
|发放贷款及垫款净增加额||(30,232,820)|(35,869,514)
|长期应收款净增加额||(2,771,953)|(3,376,657)
|卖出回购金融资产款净减少额||-|(73,314)
|支付利息、手续费及佣金的现金||(9,492,715)|(7,961,946)
|支付给职工以及为职工支付的现金||(2,196,136)|(2,350,245)
|支付的各项税费||(1,776,089)|(2,053,575)
|支付其他与经营活动有关的现金|43|(3,906,385)|(1,433,066)
|经营活动现金流出小计||(50,448,070)|(53,118,317)
|经营活动产生的现金|||
|流量净额|44|13,024,573|6,949,429
page|138
附注五|2020年度|2019年度
二、投资活动产生的现金流量||
收回投资收到的现金|2,060,491,424|730,223,907
取得投资收益收到的现金|14,077,595|12,404,511
处置固定资产、无形资产和其他||
长期资产收回的现金净额|1,425|5,714
投资活动现金流入小计|2,074,570,444|742,634,132
投资支付的现金|(2,063,550,801)|(741,532,892)
购建固定资产、无形资产||
和其他长期资产支付的现金|(564,488)|(1,090,917)
投资活动现金流出小计|(2,064,115,289)|(742,623,809)
投资活动产生的现金流量净额|10,455,155|10,323
三、筹资活动产生的现金流量||
少数股东投入资本|-|123,700
发行债券所收到的现金|121,810,000|140,460,000
筹资活动现金流入小计|121,810,000|140,583,700
偿还债务支付的现金|(142,530,000)|(131,260,000)
分配股利、利润或偿付||
利息支付的现金|(4,393,495)|(4,895,174)
筹资活动现金流出小计|(146,923,495)|(136,155,174)
筹资活动产生的现金流量净额|(25,113,495)|4,428,526
四、 汇率变动对现金及现金等价物的影响|4,170|1,169
五、 现金及现金等价物净增加/（减少）额|(1,629,597)|11,389,447
加：年初现金及现金等价物余额|29,270,036|17,880,589
page|139
2020 年 12 月 31 日|||人民币千元
资产|附注十三|2020年12月31日|2019年12月31日
现金及存放中央银行款项||41,585,224|44,417,076
存放同业款项||9,197,838|8,405,123
拆出资金||1,275,549|-
衍生金融资产||54|-
买入返售金融资产||6,474,752|5,781,939
发放贷款及垫款|1|216,010,204|190,679,863
金融投资|2||
—交易性金融资产|2.1|36,242,947|35,166,808
—债权投资|2.2|186,474,617|191,644,895
—其他债权投资|2.3|47,481,894|41,269,829
—其他权益工具投资|2.4|293,844|293,844
长期股权投资|3|1,627,870|1,627,870
固定资产||3,934,947|4,118,922
无形资产||179,186|168,883
递延所得税资产||3,678,862|2,592,385
其他资产||3,049,547|1,776,662
资产总计||557,507,335|527,944,099
page|140
2020 年 12 月 31 日|||人民币千元
负债|附注十三|2020年12月31日|2019年12月31日
向中央银行借款||20,867,520|14,619,584
同业及其他金融机构存放款项||41,466,196|26,934,426
拆入资金||2,841,640|1,735,285
卖出回购金融资产款||4,714,389|2,671,919
吸收存款|4|350,984,040|326,773,402
应付职工薪酬||1,226,839|1,070,090
应交税费||838,737|174,652
预计负债||472,903|317,504
应付债券||90,134,829|111,283,056
其他负债||2,086,414|3,962,137
负债合计||515,633,507|489,542,055
股东权益|||
股本||3,218,029|3,218,029
其他权益工具||4,992,896|4,992,896
其中：优先股||4,992,896|4,992,896
资本公积||3,942,512|3,942,512
其他综合收益||(447,999）|296,185
盈余公积||3,568,496|3,020,640
一般风险准备||6,128,959|5,850,113
未分配利润||20,470,935|17,081,669
股东权益合计||41,873,828|38,402,044
负债及股东权益总计||557,507,335|527,944,099
