page|53
项目|附注五|2020 年度|2019 年度
一、营业总收入|||945,417,541.82 1,369,543,327.65
其中：营业收入|（三十三）||945,417,541.82 1,369,543,327.65
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|||944,509,050.79 1,372,406,814.34
其中：营业成本|（三十三）||871,753,882.08 1,275,049,582.48
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（三十四）|2,454,153.25|2,737,061.62
销售费用|（三十五）|28,361,493.44|48,148,203.40
管理费用|（三十六）|40,840,446.21|49,445,281.39
研发费用|||
财务费用|（三十七）|1,099,075.81|-2,973,314.55
其中：利息费用|||
利息收入||1,196,307.98|671,561.87
加：其他收益|（三十八）|2,672,399.24|2,780,140.85
投资收益（损失以“－”号填列）|（三十九）|-1,633,117.70|19,792,604.63
其中：对联营企业和合营企业的投资收益||116,578.41|-76,143.22
以摊余成本计量的金融资产终止确认收益||5,345,220.78|5,521,461.66
汇兑收益（损失以“－”号填列）|||
page|54
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|（四十）|-30,220,050.13|-3,247,136.93
|信用减值损失（损失以“-”号填列） （四十一）|-439,714.34|-1,051,629.45
|资产减值损失（损失以“-”号填列） （四十二）|-2,460,014.63|-71,552.12
|资产处置收益（损失以“－”号填列） （四十三）|422,053.24|-124,070.86
三、营业利润（亏损以“－”号填列）||-30,749,953.29|15,214,869.43
加：营业外收入|（四十四）|150.00|3,342.96
减：营业外支出|（四十五）|487,776.44|2,734,033.22
四、利润总额（亏损总额以“－”号填列）||-31,237,579.73|12,484,179.17
减：所得税费用|（四十六）|3,608,967.48|2,759,772.14
五、净利润（净亏损以“－”号填列）||-34,846,547.21|9,724,407.03
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-36,460,711.04|9,811,978.39
2.终止经营净利润（净亏损以“－”号填列）||1,614,163.83|-87,571.36
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-35,399,947.57|8,200,687.11
2.少数股东损益（净亏损以“-”号填列）||553,400.36|1,523,719.92
六、其他综合收益的税后净额||16,360.18|17,185.39
（一）归属母公司所有者的其他综合收益的税后净额||10,706.10|11,246.12
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||10,706.10|11,246.12
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备||10,706.10|11,246.12
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||5,654.08|5,939.27
七、综合收益总额||-34,830,187.03|9,741,592.42
（一）归属于母公司所有者的综合收益总额||-35,389,241.47|8,211,933.23
（二）归属于少数股东的综合收益总额||559,054.44|1,529,659.19
八、每股收益：|||
（一）基本每股收益(元/股)||-0.18|0.04
（二）稀释每股收益(元/股)||-0.18|0.04
