page|49
项目|附注五|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|（一）|292,722,233.51|256,047,798.95
结算备付金|||
拆出资金|||
交易性金融资产|（二）|20,734,641.00|23,702,834.20
衍生金融资产|||
应收票据|||
应收账款|（三）|68,254,680.37|66,544,765.97
应收款项融资|（四）||2,753,154.07
预付款项|（五）|74,178,289.21|98,937,218.69
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|（六）|17,403,129.68|9,029,121.15
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|（七）|1,073,693.67|13,602,135.05
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|（八）|429,616.82|568,775.76
流动资产合计||474,796,284.26|471,185,803.84
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|（九）|5,379,615.84|5,263,037.43
其他权益工具投资|||
其他非流动金融资产|（十）|18,578,016.29|46,009,873.22
投资性房地产|（十一）|166,634,289.64|173,318,885.56
固定资产|（十二）|16,723,475.16|23,430,260.44
在建工程|||
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|（十三）|3,304,066.31|3,541,378.82
开发支出|||
商誉|||
page|50
长期待摊费用|（十四）||70,153.72
递延所得税资产|（十五）|1,150,317.93|1,018,187.36
其他非流动资产|||
非流动资产合计||211,769,781.17|252,651,776.55
资产总计||686,566,065.43|723,837,580.39
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|||
应付账款|（十六）|58,101,092.04|13,657,810.92
预收款项|（十七）|426,347.33|127,838,699.50
合同负债|（十八）|98,479,695.38|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|（十九）|26,044,260.27|29,935,896.59
应交税费|（二十）|2,617,337.24|2,087,378.82
其他应付款|（二十一）|29,506,977.60|28,587,686.65
其中：应付利息|||
应付股利||716,561.13|716,561.13
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|（二十二）|2,215,816.00|2,215,816.00
其他流动负债|（二十三）|823,457.96|100,000.00
流动负债合计||218,214,983.82|204,423,288.48
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|（二十四）|10,013,100.00|10,013,100.00
长期应付职工薪酬|（二十五）|3,866,608.82|4,772,792.88
预计负债|（二十六）|4,000,000.00|4,000,000.00
递延收益|（二十七）|19,247,533.46|20,221,774.07
递延所得税负债|（十五）|4,795,278.06|5,538,067.05
其他非流动负债|||
非流动负债合计||41,922,520.34|44,545,734.00
负债合计||260,137,504.16|248,969,022.48
所有者权益（或股东权益）：|||
实收资本（或股本）|（二十八）|200,991,343.00|200,991,343.00
其他权益工具|||
page|51
其中：优先股|||
永续债|||
资本公积|（二十九）|211,783,201.47|211,783,201.47
减：库存股|||
其他综合收益|（三十）|1,000,000.00|1,014,038.33
专项储备|||
盈余公积|（三十一）|43,389,742.82|43,389,742.82
一般风险准备|||
未分配利润|（三十二）|-30,473,757.32|7,576,124.82
归属于母公司所有者权益（或股东权益）合计||426,690,529.97|464,754,450.44
少数股东权益||-261,968.70|10,114,107.47
所有者权益（或股东权益）合计||426,428,561.27|474,868,557.91
负债和所有者权益（或股东权益）总计||686,566,065.43|723,837,580.39
