page|56
项目|附注五|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,319,002,583.00|1,337,035,445.82
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||98,981,880.98|129,770,009.30
收到其他与经营活动有关的现金|（四十八）|58,316,617.86|41,969,122.79
经营活动现金流入小计||1,476,301,081.84|1,508,774,577.91
购买商品、接受劳务支付的现金||1,143,924,936.16|1,237,805,915.78
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||222,348,146.40|217,659,047.14
支付的各项税费||10,821,685.30|10,814,062.04
支付其他与经营活动有关的现金|（四十八）|61,382,820.90|67,919,359.64
经营活动现金流出小计||1,438,477,588.76|1,534,198,384.60
经营活动产生的现金流量净额||37,823,493.08|-25,423,806.69
二、投资活动产生的现金流量：|||
收回投资收到的现金||475,833,161.09|207,768,600.00
取得投资收益收到的现金||10,284,440.70|6,766,410.36
处置固定资产、无形资产和其他长期资产收回的现金净额||457,074.53|243,113.08
处置子公司及其他营业单位收到的现金净额|||15,355,734.49
收到其他与投资活动有关的现金|（四十八）|640,000.00|614,300.00
投资活动现金流入小计||487,214,676.32|230,748,157.93
page|57
购建固定资产、无形资产和其他长期资产支付的现金||5,313,354.58|498,136.21
投资支付的现金||475,589,410.00|207,768,600.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（四十八）|3,960,827.52|333,426.97
投资活动现金流出小计||484,863,592.10|208,600,163.18
投资活动产生的现金流量净额||2,351,084.22|22,147,994.75
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||2,612,887.46|3,418,602.83
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（四十八）||1,285,449.76
筹资活动现金流出小计||2,612,887.46|4,704,052.59
筹资活动产生的现金流量净额||-2,612,887.46|-4,704,052.59
四、汇率变动对现金及现金等价物的影响||-1,706,255.28|2,867,282.11
五、现金及现金等价物净增加额||35,855,434.56|-5,112,582.42
加：期初现金及现金等价物余额||255,766,242.95|260,878,825.37
六、期末现金及现金等价物余额||291,621,677.51|255,766,242.95
