page|70
项目|附注五|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||632,120,981.55|563,726,767.73
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||365,337.87|733,213.37
收到其他与经营活动有关的现金|（七十九）|24,635,973.08|14,144,271.05
经营活动现金流入小计||657,122,292.50|578,604,252.15
购买商品、接受劳务支付的现金||228,393,449.02|195,863,064.99
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||274,145,482.29|224,032,455.63
支付的各项税费||32,518,573.41|33,882,523.86
支付其他与经营活动有关的现金|（七十九）|43,132,482.42|33,274,311.21
经营活动现金流出小计||578,189,987.14|487,052,355.69
经营活动产生的现金流量净额||78,932,305.36|91,551,896.46
二、投资活动产生的现金流量：|||
收回投资收到的现金||387,000,000.00|
取得投资收益收到的现金||3,094,773.44|
处置固定资产、无形资产和其他长期资产收回的现金净额||107,680.00|336.71
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||390,202,453.44|336.71
购建固定资产、无形资产和其他长期资产支付的现金||3,745,835.78|442,664.13
投资支付的现金||387,000,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||390,745,835.78|442,664.13
投资活动产生的现金流量净额||-543,382.34|-442,327.42
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||523,661,156.15|
page|71
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||42,000,000.00|51,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||565,661,156.15|51,000,000.00
偿还债务支付的现金||51,000,000.00|60,500,000.00
分配股利、利润或偿付利息支付的现金||25,144,721.31|22,371,104.92
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（七十九）|14,872,783.77|
筹资活动现金流出小计||91,017,505.08|82,871,104.92
筹资活动产生的现金流量净额||474,643,651.07|-31,871,104.92
四、汇率变动对现金及现金等价物的影响||-2,986.83|-9,033.84
五、现金及现金等价物净增加额||553,029,587.26|59,229,430.28
加：期初现金及现金等价物余额||344,179,685.64|284,950,255.36
六、期末现金及现金等价物余额||897,209,272.90|344,179,685.64
