page|59
项目|2020 年 1-12 月||2019 年 1-12 月|
|合并|母公司|合并|母公司
一、经营活动产生的现金流量：||||
销售商品、提供劳务收到的现金|1,538,738,032.26|697,805,239.15|1,417,012,800.61|535,357,771.94
收到的税费返还|18,519,826.50|8,601,797.19|29,188,090.73|8,327,328.58
收到其他与经营活动有关的现金|82,116,067.91|30,807,494.95|54,087,045.61|11,312,270.00
经营活动现金流入小计|1,639,373,926.67|737,214,531.29|1,500,287,936.95|554,997,370.52
购买商品、接受劳务支付的现金|1,121,134,021.73|522,795,640.64|916,130,720.58|350,757,870.86
支付给职工以及为职工支付的现金|314,253,416.05|94,837,857.19|358,011,091.30|121,469,816.85
支付的各项税费|70,148,337.99|38,287,456.09|69,484,985.96|20,464,873.54
支付其他与经营活动有关的现金|146,980,578.35|47,268,602.90|143,966,067.30|38,098,271.01
经营活动现金流出小计|1,652,516,354.12|703,189,556.82|1,487,592,865.14|530,790,832.26
经营活动产生的现金流量净额|-13,142,427.45|34,024,974.47|12,695,071.81|24,206,538.26
二、投资活动产生的现金流量：||||
收回投资收到的现金|3,196,000.00|2,800,000.00||
取得投资收益收到的现金|141,629,646.76|144,821,456.80|112,384,931.89|112,621,481.89
处置固定、无形和其他长期资产收回现金净额|1,624,834.60|972,185.00|1,791,731.61|910,000.00
处置子公司及其他单位收到的现金净额|37,744,000.00|37,744,000.00||
收到其他与投资活动有关的现金||||
投资活动现金流入小计|184,194,481.36|186,337,641.80|114,176,663.50|113,531,481.89
购建固定、无形和其他长期资产支付的现金|14,869,095.73|10,438,744.28|114,061,103.54|108,473,985.73
投资支付的现金||100,000,000.00||
取得子公司及其他营业单位支付的现金净额||||
支付其他与投资活动有关的现金||||
投资活动现金流出小计|14,869,095.73|110,438,744.28|114,061,103.54|108,473,985.73
投资活动产生的现金流量净额|169,325,385.63|75,898,897.52|115,559.96|5,057,496.16
三、筹资活动产生的现金流量：||||
吸收投资收到的现金||||
其中：子公司吸收少数股东投资收到的现金||||
取得借款收到的现金|333,531,600.00|315,011,600.00|461,162,100.00|358,082,000.00
发行债券收到的现金||||
收到其他与筹资活动有关的现金|56,489,819.37|743,155.00|38,323,050.64|
筹资活动现金流入小计|390,021,419.37|315,754,755.00|499,485,150.64|358,082,000.00
page|60
偿还债务支付的现金|405,812,000.00|347,082,000.00|371,623,748.91|300,000,000.00
分配股利、利润或偿付利息支付的现金|47,142,841.87|45,119,746.25|59,750,220.60|51,085,785.39
其中：子公司支付给少数股东的股利、利润|-|-|118,455.63|
支付其他与筹资活动有关的现金|78,196,961.15|23,123,472.43|83,977,335.68|48,309,544.36
筹资活动现金流出小计|531,151,803.02|415,325,218.68|515,351,305.19|399,395,329.75
筹资活动产生的现金流量净额|-141,130,383.65|-99,570,463.68|-15,866,154.55|-41,313,329.75
四、汇率变动对现金及现金等价物的影响|-1,601,468.60|5,763.51|-120,557.13|-83,793.31
五、现金及现金等价物净增加额|13,451,105.93|10,359,171.82|-3,176,079.91|-12,133,088.64
加：期初现金及现金等价物余额|301,527,354.56|174,843,096.46|304,703,434.47|186,976,185.10
六、期末现金及现金等价物余额|314,978,460.49|185,202,268.28|301,527,354.56|174,843,096.46
