page|67
项目|附 注|2021 年度|2020 年度
一、营业总收入||1,042,305,915.97|736,063,748.91
其中：营业收入||1,042,305,915.97|736,063,748.91
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||923,263,618.20|631,020,948.86
其中：营业成本||747,920,240.93|484,234,180.66
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||6,876,566.89|5,859,171.77
销售费用||13,527,769.91|9,767,565.77
page|68
管理费用||106,255,738.30|89,363,053.93
研发费用||41,459,191.08|36,586,783.85
财务费用||7,224,111.09|5,210,192.88
其中：利息费用||7,040,223.35|5,002,289.91
利息收入||923,951.79|767,045.92
加：其他收益||2,651,322.73|4,173,601.68
投资收益（损失以“－”号填列）||543,768.72|7,728,636.90
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||1,702,814.93|4,244,690.50
信用减值损失（损失以“-”号填列）||-2,348,441.74|-1,150,627.54
资产减值损失（损失以“-”号填列）||-1,781,647.45|-1,126,145.90
资产处置收益（损失以“－”号填列）||-53,380.49|
三、营业利润（亏损以“－”号填列）||119,756,734.47|118,912,955.69
加：营业外收入||52,362.95|417,895.90
减：营业外支出||1,073,785.71|1,049,185.90
四、利润总额（亏损总额以“－”号填列）||118,735,311.71|118,281,665.69
减：所得税费用||18,586,344.11|17,834,961.56
五、净利润（净亏损以“－”号填列）||100,148,967.60|100,446,704.13
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||100,148,967.60|100,446,704.13
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||101,370,204.55|100,446,704.13
2.少数股东损益（净亏损以“-”号填列）||-1,221,236.95|
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
page|69
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||100,148,967.60|100,446,704.13
（一）归属于母公司所有者的综合收益总额||101,370,204.55|100,446,704.13
（二）归属于少数股东的综合收益总额||-1,221,236.95|
八、每股收益：|||
（一）基本每股收益(元/股)||0.76|0.77
（二）稀释每股收益(元/股)||0.76|0.77
