page|87
项       目|附注|本期数|上期数
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||23,671,653,964.33|29,299,347,889.40
收到的税费返还||-|-
收到其他与经营活动有关的现金|六、47|9,792,810,819.57|3,527,784,328.57
经营活动现金流入小计||33,464,464,783.90|32,827,132,217.97
购买商品、接受劳务支付的现金||15,481,598,420.18|17,320,857,449.78
支付给职工以及为职工支付的现金||984,921,480.37|1,034,402,597.62
支付的各项税费||3,920,547,360.97|5,552,387,196.99
支付其他与经营活动有关的现金|六、47|3,187,519,654.53|6,259,190,095.67
经营活动现金流出小计||23,574,586,916.05|30,166,837,340.06
经营活动产生的现金流量净额||9,889,877,867.85|2,660,294,877.91
二、投资活动产生的现金流量：|||
收回投资收到的现金||333,000,000.00|1,207,207.00
取得投资收益收到的现金||18,326,689.39|9,529,699.71
处置固定资产、无形资产和其他长期资产收回的      现金净额||124,658.25|240,304.21
处置子公司及其他营业单位收到的现金净额||-|4,875,308.02
收到其他与投资活动有关的现金||-|-
投资活动现金流入小计||351,451,347.64|15,852,518.94
购置固定资产、无形资产和其他长期资产支付的现金||52,601,772.79|94,929,319.05
投资支付的现金||261,000,000.00|771,198,359.00
取得子公司及其他营业单位支付的现金净额||460,857,766.04|-
支付其他与投资活动有关的现金||-|-
投资活动现金流出小计||774,459,538.83|866,127,678.05
投资活动产生的现金流量净额||-423,008,191.19|-850,275,159.11
page|88
三、筹资活动产生的现金流量：|||-
吸收投资收到的现金||15,000,000.00|34,500,000.00
其中：子公司吸收少数股东投资收到的现金||15,000,000.00|34,500,000.00
取得借款收到的现金||45,736,493,519.27|23,040,407,457.62
收到其他与筹资活动有关的现金|六、47|1,500,000,000.00|
筹资活动现金流入小计||47,251,493,519.27|23,074,907,457.62
偿还债务支付的现金||42,699,575,293.86|18,940,712,376.64
分配股利、利润或偿付利息支付的现金||6,012,393,458.18|6,296,316,742.69
其中：子公司支付少数股东的股利、利润||415,307,129.84|1,098,113,503.32
支付其他与筹资活动有关的现金|六、47|215,000,000.00|550,200,000.00
筹资活动现金流出小计||48,926,968,752.04|25,787,229,119.33
筹资活动产生的现金流量净额||-1,675,475,232.77|-2,712,321,661.71
四、汇率变动对现金及现金等价物的影响||-93,277.07|159,368.76
五、现金及现金等价物净增加额||7,791,301,166.82|-902,142,574.15
加：期初现金及现金等价物余额||10,913,842,974.90|11,815,985,549.05
六、期末现金及现金等价物余额||18,705,144,141.72|10,913,842,974.90
