page|85
项    目|附注|本期数|上期数
一、营业收入|六、33|18,121,373,449.03|26,184,015,959.15
减：营业成本|六、33|12,166,665,390.77|15,669,976,310.74
税金及附加|六、34|1,298,343,457.34|2,323,219,341.43
销售费用|六、35|923,275,601.45|921,634,378.38
管理费用|六、36|334,797,095.63|605,445,037.55
研发费用||-|
财务费用|六、37|-1,451,665,388.45|1,564,732,460.25
其中：利息费用|六、37|2,123,968,663.56|2,076,252,853.44
利息收入|六、37|3,599,250,500.45|527,735,173.99
加：其他收益|六、38|39,657,944.97|20,165,518.01
投资收益(损失以“-”号填列）|六、39|-166,739,887.36|-25,611,071.10
|其中：对联营企业和合营企业的投资收益  六、39|-185,066,576.75|-26,994,601.18
以摊余成本计量的金融资产终止确认收益（损失以“-”号填列）|||
公允价值变动收益(损失以“-”号填列）|六、40|-427,997,782.82|682,947,765.42
信用减值损失(损失以“-”号填列）|六、41|-38,208,148.50|-20,636,632.21
资产减值损失(损失以“-”号填列）|六、42|-900,071,643.79|-
资产处置收益(损失以“-”号填列）|六、43|-335,103.12|50,526.58
二、营业利润(亏损以“-”号填列）||3,356,262,671.67|5,755,924,537.50
加：营业外收入|六、44|139,412,021.86|50,040,138.61
减：营业外支出|六、45|35,137,003.11|88,721,370.30
三、利润总额(亏损总额以“-”号填列）||3,460,537,690.42|5,717,243,305.81
减：所得税费用|六、46|1,242,069,766.42|1,596,590,451.06
四、净利润(净亏损以“-”号填列）||2,218,467,924.00|4,120,652,854.75
（一）按经营持续性分类：|||
其中：持续经营净利润（净亏损以“-”号填列）||2,218,467,924.00|4,120,652,854.75
终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类：|||
其中：  归属于母公司股东的净利润（净亏损以“-”号填列）||2,498,437,474.76|3,441,864,333.90
page|86
少数股东损益（净亏损以“-”号填列）||-279,969,550.76|678,788,520.85
五、其他综合收益的税后净额||-4,503,637.67|16,666.60
归属于母公司股东的其他综合收益的税后净额||-4,541,653.43|16,666.60
（一）不能重分类进损益的其他综合收益||-|-
1、权益法下不能转损益的其他综合收益|||
2、其他权益工具投资公允价值变动|||
（二）将重分类进损益的其他综合收益||-4,541,653.43|16,666.60
1、权益法下可转损益的其他综合收益|||
2、其他债权投资公允价值变动|||
3、金融资产重分类计入其他综合收益的金额|||
4、其他债权投资信用减值准备|||
5、外币财务报表折算差额||-87,827.43|16,666.60
6、自用房地产或作为存货的房地产转换为以公允价值计量的投资性房地产在转换日公允价值大于账面价值部分||-4,453,826.00|
7、多次交易分步处置子公司股权构成一揽子交易的，丧失控制权之前各次交易处置价款与对应净资产账面价值份额的差额|||
归属于少数股东的其他综合收益的税后净额||38,015.76|
六、综合收益总额||2,213,964,286.33|4,120,669,521.35
归属于母公司股东的综合收益总额||2,493,895,821.33|3,441,881,000.50
归属于少数股东的综合收益总额||-279,931,535.00|678,788,520.85
七、每股收益|||
（一）基本每股收益||0.84|1.15
（二）稀释每股收益||0.84|1.15
