page|89
项目|附注五|本期金额|上期金额
一、经营活动产生的现金流量|||
客户存款和同业存放款项净增加额||4,097,141|18,054,693
存放中央银行和同业及其他金融机构款项净减少额||773,612|2,691,095
向中央银行借款净增加额||451,160|2,122,790
同业拆借资金净增加额|||6,391,674
收取利息、手续费及佣金的现金||8,859,328|8,350,280
收到其他与经营活动有关的现金|49|73,143|150,295
经营活动现金流入小计||14,254,384|37,760,827
客户贷款及垫款净增加额||20,020,038|19,539,035
同业拆借资金净减少额||11,988,930|
支付的利息、手续费及佣金的现金||2,864,746|2,987,961
支付给职工以及为职工支付的现金||1,009,099|632,160
支付的各项税费||874,414|876,817
支付其他与经营活动有关的现金|49|633,121|642,857
page|90
经营活动现金流出小计||37,390,348|24,678,830
经营活动产生的现金流量净额||-23,135,964|13,081,997
二、投资活动产生的现金流量：|||
收回投资收到的现金||91,920,940|74,782,813
取得投资收益收到的现金||271,039|444,924
处置固定资产、无形资产和其他长期资产收回的现金净额||17,392|22,743
收到其他与投资活动有关的现金|||
投资活动现金流入小计||92,209,371|75,250,480
购建固定资产、无形资产和其他长期资产支付的现金||76,812|66,438
投资支付的现金||72,557,941|78,737,633
支付其他与投资活动有关的现金|||
投资活动现金流出小计||72,634,753|78,804,071
投资活动产生的现金流量净额||19,574,618|-3,553,591
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
发行债券收到的现金||33,907,672|58,155,362
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||33,907,672|58,155,362
偿还债务支付的现金||39,840,316|68,575,286
page|91
分配股利、利润或偿付利息支付的现金||979,476|1,392,003
支付其他与筹资活动有关的现金||51,482|
筹资活动现金流出小计||40,871,274|69,967,289
筹资活动产生的现金流量净额||-6,963,602|-11,811,927
四、汇率变动对现金及现金等价物的影响||-14,294|-17,532
五、现金及现金等价物净增加额||-10,539,242|-2,301,053
加：期初现金及现金等价物余额|50|21,461,708|23,762,761
六、期末现金及现金等价物余额|50|10,922,466|21,461,708
法定代表人：赵远宽        主管会计工作负责人：许国玉          会计机构负责人：田在良|||
