page|86
项目|附注五|本期金额|上期金额
一、营业收入||4,502,101|4,476,750
利息净收入||3,958,887|3,840,396
利息收入|37|8,530,106|7,822,815
利息支出|37|4,571,219|3,982,419
手续费及佣金净收入||123,330|125,633
手续费及佣金收入|38|162,617|152,767
手续费及佣金支出|38|39,287|27,134
投资收益（损失以“-”号填列）|39|328,735|538,482
其中：对联营企业和合营企业的投资收益||78,920|75,443
以摊余成本计量的金融资产终止确认 产生的收益（损失以“-”号填列）||38,222|94,097
公允价值变动损益（损失以“-”号填列）|40|35,883|-73,029
汇兑损益（损失以“-”号填列）||1,266|5,607
其他业务收入||6,349|7,435
资产处置收益（损失以“-”号填列）|41|18,165|20,747
其他收益||29,486|11,479
二、营业支出||2,724,653|2,914,715
税金及附加|42|64,529|57,272
业务及管理费|43|1,614,191|1,359,146
page|87
信用减值损失|44|1,045,933|1,496,465
其他资产减值损失|||1,832
其他业务成本|||
三、营业利润||1,777,448|1,562,035
加：营业外收入|45|11,605|45,104
减：营业外支出|46|10,102|6,847
四、利润总额||1,778,951|1,600,292
减：所得税费用|47|263,747|158,796
五、净利润||1,515,204|1,441,496
1.持续经营净利润（净亏损以“-”号填列）||1,515,204|1,441,496
2.终止经营净利润（净亏损以“-”号填列）|||
六、其他综合收益的税后净额||34,562|-449,040
（一）以后不能重分类进损益的其他综合收益|||
1.重新计量设定受益计划净负债或净资产的变动|||
2.权益法下在被投资单位不能重分类进损益的其他综合收益中享有的份额|||
（二）以后将重分类进损益的其他综合收益||34,562|-449,040
1.权益法下在被投资单位以后将重分类进损益的其他综合收益中所享有的份额||1,815|-3,079
2.以公允价值计量且其变动计入其他综合收益的债权投资公允价值变动||109,585|-283,742
3. 以公允价值计量且其变动计入其他综合收益的债权投资信用减值准备||-76,838|-162,219
七、综合收益总额||1,549,766|992,456
八、每股收益|||
page|88
（一）每股基本收益|48|0.41|0.39
（二）稀释每股收益|48|0.38|0.37
