page|82
项目|附 注|2021 年度|2020 年度
一、营业总收入||4,147,039,115.35|3,467,021,449.85
其中：营业收入||4,147,039,115.35|3,467,021,449.85
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||4,048,568,685.00|3,518,623,590.76
其中：营业成本||3,388,595,799.34|2,902,062,605.33
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
page|83
分保费用|||
税金及附加||36,768,394.58|19,871,966.20
销售费用||46,647,253.07|46,488,743.92
管理费用||242,406,563.86|242,399,058.06
研发费用||234,642,003.17|203,360,255.31
财务费用||99,508,670.98|104,440,961.94
其中：利息费用||76,554,078.09|65,600,666.74
利息收入||1,831,618.19|817,650.94
加：其他收益||41,145,014.13|4,930,136.87
投资收益（损失以“－”号填列）||240,657,788.85|5,347,296.45
其中：对联营企业和合营企业的投资收益||5,695,132.40|5,122,922.66
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||884,677.22|176,473.23
信用减值损失（损失以“-”号填列）||-12,160,092.01|-20,656,419.63
资产减值损失（损失以“-”号填列）||-16,990,024.68|-10,818,511.08
资产处置收益（损失以“－”号填列）||293,851.38|14,081.73
三、营业利润（亏损以“－”号填列）||352,301,645.24|-72,609,083.34
加：营业外收入||3,290,702.80|14,065,244.38
减：营业外支出||2,174,956.09|5,442,609.02
四、利润总额（亏损总额以“－”号填列）||353,417,391.95|-63,986,447.98
减：所得税费用||-16,138,544.35|-9,459,097.10
五、净利润（净亏损以“－”号填列）||369,555,936.30|-54,527,350.88
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||369,555,936.30|-54,527,350.88
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||369,027,476.24|-47,624,684.80
2.少数股东损益（净亏损以“-”号填列）||528,460.06|-6,902,666.08
六、其他综合收益的税后净额||-27.93|-158,743.36
（一）归属母公司所有者的其他综合收益的税后净额||-27.93|-158,743.36
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-27.93|-158,743.36
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-27.93|-158,743.36
（7）其他|||
page|84
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||369,555,908.37|-54,686,094.24
（一）归属于母公司所有者的综合收益总额||369,027,448.31|-47,783,428.16
（二）归属于少数股东的综合收益总额||528,460.06|-6,902,666.08
八、每股收益：|||
（一）基本每股收益(元/股)||0.7112|-0.1028
（二）稀释每股收益(元/股)||0.7112|-0.1028
