page|78
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31日
流动资产：|||
货币资金||419,230,860.95|280,099,176.63
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据||10,418,834.01|400,000.00
应收账款||1,930,872,986.15|1,625,901,653.29
应收款项融资||725,676.00|
预付款项||39,214,301.92|26,980,593.70
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||6,983,232.14|19,256,295.61
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货||369,705,214.31|505,733,499.23
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||31,031,840.30|93,620,874.27
page|79
流动资产合计||2,808,182,945.78|2,551,992,092.73
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资||151,292,400.73|137,622,968.33
其他权益工具投资|||
其他非流动金融资产||35,388,144.37|4,503,467.15
投资性房地产||296,973,726.61|
固定资产||2,414,301,751.44|2,686,426,665.73
在建工程||85,710,452.86|373,140,929.67
生产性生物资产|||
油气资产|||
使用权资产||40,456,998.30|
无形资产||120,570,450.52|174,109,398.69
开发支出|||
商誉|||
长期待摊费用||2,812,616.92|5,137,750.55
递延所得税资产||70,149,397.22|69,330,679.99
其他非流动资产||5,850,437.13|25,340,649.23
非流动资产合计||3,223,506,376.10|3,475,612,509.34
资产总计||6,031,689,321.88|6,027,604,602.07
流动负债：|||
短期借款||747,198,102.68|1,317,944,020.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据||190,371,085.71|67,522,708.28
应付账款||977,119,167.46|1,383,287,067.26
预收款项|||
合同负债||2,018,236.96|3,082,485.44
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||46,047,972.79|72,818,015.98
应交税费||13,002,507.77|4,553,966.57
其他应付款||94,295,811.80|61,854,922.35
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债||34,216,054.92|53,246,260.43
其他流动负债||10,308,681.40|147,486.17
流动负债合计||2,114,577,621.49|2,964,456,932.48
page|80
非流动负债：|||
保险合同准备金|||
长期借款||786,000,000.00|566,641,364.41
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款||-|2,882,173.56
长期应付职工薪酬|||
预计负债|||
递延收益||97,767,586.95|136,635,653.53
递延所得税负债||39,344,621.12|39,079,409.72
其他非流动负债|||191,277,054.50
非流动负债合计||923,112,208.07|936,515,655.72
负债合计||3,037,689,829.56|3,900,972,588.20
所有者权益（或股东权益）：|||
实收资本（或股本）||557,549,390.00|490,885,460.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||1,748,720,077.67|1,301,252,826.82
减：库存股||27,693,012.00|47,271,370.00
其他综合收益||-49,126.64|-49,098.71
专项储备|||
盈余公积||84,947,087.45|66,179,095.61
一般风险准备|||
未分配利润||630,525,075.84|280,265,591.44
归属于母公司所有者权益（或股东权益）合计||2,993,999,492.32|2,091,262,505.16
少数股东权益|||35,369,508.71
所有者权益（或股东权益）合计||2,993,999,492.32|2,126,632,013.87
负债和所有者权益（或股东权益）总计||6,031,689,321.88|6,027,604,602.07
